	NotOutlier_PIK3CA.Mutation.Status_False	NotOutlier_PIK3CA.Mutation.Status_True	Outliers_PIK3CA.Mutation.Status_False	Outliers_PIK3CA.Mutation.Status_True	fisherp_PIK3CA.Mutation.Status_False	fisherp_PIK3CA.Mutation.Status_True	fisherFDR_PIK3CA.Mutation.Status_False	fisherFDR_PIK3CA.Mutation.Status_True
NP_998725	276.0	145.0	24.0	9.0	0.45085068498066816		0.8531482192711105	
NP_000108	482.0	230.0	10.0	10.0		0.1444285536625043		0.33320051981681675
NP_000415	971.0	473.0	15.0	11.0		0.3002025337850029		0.466515215507755
NP_000480	1678.0	878.0	72.0	44.0		0.4259893319892252		0.5626289618886646
NP_001002909	599.0	311.0	56.0	30.0		0.9056835318433853		0.9302444411815111
NP_001002926	240.0	116.0	6.0	9.0		0.046726494143797134		0.17057985211530763
NP_001014972	706.0	365.0	33.0	24.0		0.2522798398608745		0.42944264875193805
NP_001027454	825.0	433.0	30.0	17.0		0.875960044903881		0.9120821086112576
NP_001030128	1029.0	514.0	14.0	19.0		0.004953751107665426		0.05773025329317785
NP_001032242	1065.0	535.0	26.0	33.0		0.0006591669974246957		0.0203689022360515
NP_001032622	424.0	224.0	17.0	13.0		0.33270158667854566		0.49415970962548694
NP_001034558	712.0	373.0	28.0	22.0		0.17328296336356674		0.3547617425618968
NP_001035905	1042.0	512.0	25.0	26.0		0.009883268754108498		0.07909823818167054
NP_001073964	893.0	467.0	47.0	35.0		0.15149516518928463		0.3375223165614209
NP_001078927	1768.0	868.0	67.0	43.0		0.1804125613366304		0.3620199078476755
NP_001092885	527.0	279.0	18.0	16.0		0.1451566620984152		0.33320051981681675
NP_001120982	1046.0	524.0	35.0	37.0		0.00218131457998418		0.0367187954297337
NP_001123910	661.0	288.0	9.0	12.0		0.014674256926747472		0.08718234997655852
NP_001123917	1892.0	950.0	34.0	36.0		0.002965853603291189		0.04084789280896502
NP_001123999	1110.0	565.0	32.0	22.0		0.30757116985635125		0.47306631708870267
NP_001127910	1135.0	586.0	21.0	19.0		0.09157486306808815		0.25225598916908615
NP_001128342	586.0	301.0	16.0	16.0		0.08651350516206197		0.2472980383406111
NP_001128716	1080.0	552.0	49.0	35.0		0.15687406370689988		0.3395202950227904
NP_001129119	384.0	204.0	20.0	13.0		0.5783074679595862		0.7065611402893331
NP_001137532	548.0	283.0	13.0	13.0		0.09783952568548347		0.2548842335629371
NP_001138678	1158.0	589.0	24.0	23.0		0.04140349262103086		0.1629254320022383
NP_001139143	1155.0	511.0	9.0	16.0		0.0007470755003542633		0.02057853423703107
NP_001139488	338.0	165.0	9.0	8.0		0.29405887767763095		0.46645986187609867
NP_001155973	503.0	249.0	16.0	11.0		0.4119411613876942		0.5534544538985186
NP_001157745	824.0	434.0	44.0	29.0		0.3775399046195611		0.534554164017416
NP_001171914	1010.0	526.0	38.0	27.0		0.23258733717124744		0.42079585437294026
NP_001181875	589.0	297.0	11.0	15.0		0.01895488046974372		0.09734455563275164
NP_001184033	538.0	281.0	19.0	23.0		0.012034653541879199		0.07927173963455211
NP_001186226	353.0	173.0	6.0	12.0		0.004609618475020908		0.0558685759172534
NP_001186346	448.0	209.0	15.0	13.0		0.14697252784004272		0.3348321498912252
NP_001191332	822.0	425.0	20.0	22.0		0.02000510260674167		0.10102576816404543
NP_001191397	562.0	307.0	28.0	18.0		0.6363975901270722		0.7591672039704839
NP_001191676	386.0	193.0	8.0	12.0		0.01706028117706578		0.09572713327131353
NP_001193937	1447.0	719.0	53.0	29.0		0.7204822890903104		0.808824899657564
NP_001230368	716.0	365.0	26.0	21.0		0.15653681964425314		0.3395202950227904
NP_001230685	779.0	384.0	17.0	19.0		0.018812963813780934		0.09734455563275164
NP_001242941	462.0	222.0	9.0	14.0		0.006499470397233971		0.06790825966765149
NP_001243111	581.0	276.0	19.0	15.0		0.19051025971429703		0.37241683028020645
NP_001245303	998.0	496.0	23.0	17.0		0.23598001654369322		0.42079585437294026
NP_001258928	1052.0	533.0	40.0	28.0		0.2387258774926923		0.42079585437294026
NP_001264	1076.0	533.0	38.0	40.0		0.001353761455870653		0.02563685757055049
NP_001265138	1194.0	638.0	32.0	18.0		0.880993018953306		0.9141811121330539
NP_001334	527.0	254.0	15.0	13.0		0.1514813613762293		0.3375223165614209
NP_001419	487.0	240.0	16.0	9.0		0.8294048788946393		0.9005361489101074
NP_001422	894.0	440.0	20.0	18.0		0.07995903489306874		0.23521929682135756
NP_001446	557.0	297.0	15.0	11.0		0.4133785353925199		0.5534544538985186
NP_001460	309.0	147.0	9.0	11.0		0.049798949201456055		0.1734377196326573
NP_001511	537.0	286.0	32.0	24.0		0.24777326607248584		0.4277805701249055
NP_001524	184.0	85.0	18.0	12.0		0.41132544736711196		0.5534544538985186
NP_001605	649.0	323.0	28.0	20.0		0.2728496374778796		0.44683884008426245
NP_001615	876.0	485.0	23.0	22.0		0.08208721753036649		0.23915795107404852
NP_001803	457.0	233.0	12.0	10.0		0.26086550399809266		0.4391235983967893
NP_001931	599.0	286.0	35.0	34.0		0.0052737546419489075		0.059183246537426626
NP_001972	815.0	398.0	19.0	26.0		0.0010495533286006859		0.024462666043539062
NP_001978	813.0	416.0	36.0	22.0		0.5709097635663296		0.703193733173162
NP_002105	786.0	453.0	22.0	16.0		0.49769358550458836		0.6362917991894104
NP_002130	874.0	443.0	31.0	31.0		0.009391490587838421		0.07909823818167054
NP_002364	2153.0	1116.0	49.0	28.0		0.7158064588485462		0.808824899657564
NP_002365	1236.0	531.0	19.0	24.0		0.0006210841251699533		0.0203689022360515
NP_002366	1954.0	1002.0	93.0	53.0		0.5914153127459466		0.7139396006455053
NP_002410	407.0	208.0	11.0	10.0		0.24164514409535182		0.42079585437294026
NP_002464	788.0	378.0	24.0	20.0		0.0742569343363555		0.2227708030090665
NP_002547	675.0	325.0	14.0	14.0		0.06559374326176526		0.20489591967334922
NP_002826	839.0	398.0	49.0	27.0		0.5305873796777969		0.6698665668432185
NP_003061	386.0	183.0	20.0	21.0		0.016063340492408814		0.09183381451320512
NP_003119	1189.0	599.0	26.0	33.0		0.0006722409978894884		0.0203689022360515
NP_003147	550.0	279.0	18.0	17.0		0.1000375280669672		0.2548842335629371
NP_003371	1708.0	846.0	44.0	27.0		0.37504840320282296		0.534554164017416
NP_003397	250.0	118.0	3.0	11.0		0.0006292264902697121		0.0203689022360515
NP_003473	1439.0	763.0	51.0	30.0		0.7216508977469978		0.808824899657564
NP_003600	759.0	372.0	37.0	26.0		0.17214370444191815		0.3547617425618968
NP_003613	808.0	404.0	31.0	24.0		0.14402644834621947		0.33320051981681675
NP_003642	361.0	189.0	18.0	17.0		0.10107903773736861		0.2548842335629371
NP_003740	1142.0	538.0	25.0	22.0		0.03954010282821262		0.15974201542597896
NP_003807	149.0	68.0	6.0	10.0		0.024494197884422413		0.11596471810906236
NP_003886	373.0	203.0	15.0	15.0		0.11879660030012668		0.2879629591275071
NP_003904	1057.0	570.0	56.0	33.0		0.7325839741661687		0.8130877075910224
NP_004136	813.0	424.0	34.0	24.0		0.2625316878258756		0.4394867481283995
NP_004229	516.0	263.0	22.0	19.0		0.12778163831135234		0.303119093225352
NP_004371	351.0	186.0	17.0	10.0		0.8370400747134323		0.9005361489101074
NP_004406	1255.0	632.0	39.0	23.0		0.5853894279235241		0.7094919866433111
NP_004450	596.0	290.0	18.0	21.0		0.008818116076719746		0.0785849756248848
NP_004563	923.0	489.0	26.0	24.0		0.06918735847992877		0.21391601652467773
NP_004710	725.0	394.0	31.0	27.0		0.09157808187656594		0.25225598916908615
NP_004765	906.0	490.0	26.0	18.0		0.42707808988248475		0.5626289618886646
NP_004808	1560.0	771.0	36.0	38.0		0.0016176480300662483		0.028832197241769015
NP_004851	319.0	159.0	16.0	11.0		0.41144898444821915		0.5534544538985186
NP_004915	536.0	248.0	6.0	19.0		9.674903772037102e-06		0.001465747921463621
NP_005057	248.0	134.0	11.0	9.0		0.4726562822660253		0.6120292885752379
NP_005076	985.0	530.0	39.0	32.0		0.09832815946333057		0.2548842335629371
NP_005086	650.0	333.0	22.0	15.0		0.4799940377260954		0.6188859294936464
NP_005100	200.0	103.0	10.0	9.0		0.32001101586427627		0.48569701179110614
NP_005110	1647.0	829.0	90.0	52.0		0.46530043572452406		0.6076984138988396
NP_005119	558.0	309.0	15.0	9.0		0.8321999807922076		0.9005361489101074
NP_005179	346.0	174.0	17.0	15.0		0.12802301292821897		0.303119093225352
NP_005325	342.0	181.0	11.0	11.0		0.17138472937716764		0.3547617425618968
NP_005327	493.0	240.0	10.0	13.0		0.02369230918351904		0.11394872512073442
NP_005349	1731.0	875.0	65.0	40.0		0.3445559563984719		0.5092705111645707
NP_005372	801.0	408.0	21.0	13.0		0.5853261829717131		0.7094919866433111
NP_005376	563.0	288.0	23.0	17.0		0.30613771387306177		0.47306631708870267
NP_005500	553.0	300.0	24.0	18.0		0.3244195459440185		0.48569701179110614
NP_005549	607.0	310.0	5.0	10.0		0.011894698779413411		0.07927173963455211
NP_005564	617.0	304.0	21.0	20.0		0.042768438279165114		0.16606667119423213
NP_005569	496.0	241.0	13.0	10.0		0.27099864342528707		0.44683884008426245
NP_005602	623.0	340.0	20.0	17.0		0.22070394930684098		0.41279812740723965
NP_005624	396.0	209.0	20.0	15.0		0.36268723765691935		0.5281781380046298
NP_005830	2435.0	1233.0	167.0	100.0		0.2037038107066621		0.3908156088354595
NP_005839	601.0	303.0	38.0	27.0		0.2222385321998011		0.41311825310760575
NP_005900	3765.0	1919.0	31.0	38.0		0.00045604596291429775		0.0203689022360515
NP_005914	240.0	106.0	5.0	13.0		0.0005060749588721978		0.0203689022360515
NP_005981	479.0	250.0	23.0	14.0		0.7234044482085804		0.808824899657564
NP_006006	697.0	373.0	29.0	18.0		0.6412279393537019		0.7619296691143987
NP_006258	2680.0	1411.0	80.0	50.0		0.3503166203840344		0.515271533865837
NP_006280	1375.0	655.0	29.0	28.0		0.009670984866419634		0.07909823818167054
NP_006303	1902.0	974.0	93.0	48.0		1.0		1.0
NP_006358	410.0	186.0	15.0	16.0		0.02823662736129646		0.1296317892495883
NP_006411	585.0	310.0	12.0	14.0		0.05896602796100103		0.19420333121938385
NP_006448	926.0	457.0	28.0	21.0		0.16613915428830173		0.3520291171283596
NP_006485	450.0	225.0	15.0	9.0		0.6647340650319222		0.7827074226746953
NP_006608	2066.0	1003.0	39.0	29.0		0.09029389746779712		0.25225598916908615
NP_006653	621.0	330.0	20.0	16.0		0.2851773931536459		0.45840457318866806
NP_006700	308.0	168.0	16.0	9.0		1.0		1.0
NP_006725	534.0	291.0	13.0	25.0		0.0002218970459481205		0.016808701230570128
NP_008933	139.0	67.0	10.0	13.0		0.03575284669723011		0.1474021058561357
NP_009131	1958.0	981.0	73.0	58.0		0.01381321848575564		0.08541643267722365
NP_009134	686.0	327.0	17.0	16.0		0.059708359503091835		0.1943161370778439
NP_009217	1860.0	954.0	46.0	29.0		0.38967360010369584		0.5393762653603473
NP_009297	428.0	221.0	24.0	17.0		0.3969794887599911		0.5420303028623906
NP_031370	143.0	74.0	8.0	8.0		0.2770149213395603		0.44885305436303086
NP_031372	303.0	152.0	15.0	12.0		0.29557852633732984		0.46645986187609867
NP_031385	406.0	203.0	20.0	22.0		0.017836246066027656		0.09734455563275164
NP_036222	894.0	469.0	21.0	24.0		0.010884352735784787		0.07909823818167054
NP_036288	1101.0	567.0	20.0	12.0		0.7080259145522083		0.807601183468914
NP_036366	239.0	122.0	9.0	9.0		0.20353252409999162		0.3908156088354595
NP_036440	558.0	286.0	24.0	19.0		0.18822587351107306		0.37241683028020645
NP_036441	862.0	459.0	15.0	16.0		0.058143553659108664		0.19359886548032887
NP_037450	1056.0	575.0	27.0	30.0		0.01075680844082343		0.07909823818167054
NP_037474	241.0	113.0	11.0	11.0		0.10114716404222032		0.2548842335629371
NP_037524	283.0	139.0	15.0	15.0		0.07195190925147481		0.21801428503196865
NP_054878	929.0	472.0	35.0	28.0		0.10224122894309666		0.2548842335629371
NP_054908	772.0	376.0	23.0	22.0		0.03484570431014685		0.1474021058561357
NP_055062	515.0	239.0	14.0	17.0		0.010250209672035035		0.07909823818167054
NP_055160	1581.0	815.0	71.0	55.0		0.03396935129162432		0.1474021058561357
NP_055238	831.0	453.0	41.0	23.0		0.8943118659319562		0.9248344552129104
NP_055315	946.0	476.0	34.0	36.0		0.00282512431401256		0.04076250795932408
NP_055412	599.0	328.0	19.0	11.0		0.8491644073618542		0.9077354715223677
NP_055445	642.0	331.0	29.0	16.0		0.872587890666565		0.9117038995585144
