	NotOutlier_GATA3.Mutation.Status_False	NotOutlier_GATA3.Mutation.Status_True	Outliers_GATA3.Mutation.Status_False	Outliers_GATA3.Mutation.Status_True	fisherp_GATA3.Mutation.Status_False	fisherp_GATA3.Mutation.Status_True	fisherFDR_GATA3.Mutation.Status_False	fisherFDR_GATA3.Mutation.Status_True
NP_001264	1458.0	144.0	77.0	8.0		0.8459908084632504		0.8580633928395072
NP_001265138	1673.0	156.0	48.0	5.0		0.801651543855419		0.8203379557106222
NP_001265612	437.0	42.0	23.0	5.0		0.16673834726837497		0.2816152197143588
NP_001303	530.0	51.0	23.0	3.0		0.49658887538656693		0.5833820637837767
NP_001387	423.0	36.0	22.0	4.0		0.25752778727112935		0.37465001381087587
NP_001406	61.0	4.0	6.0	3.0		0.0348095936728456		0.1261049695490188
NP_001446	775.0	72.0	26.0	7.0		0.022548124763420257		0.10595623229536422
NP_001485	197.0	14.0	7.0	3.0		0.03254286665403809		0.12377968541252916
NP_001509	768.0	77.0	17.0	4.0		0.12465753479408309		0.23810485962466948
NP_001511	752.0	69.0	52.0	6.0		0.6241246379822256		0.6947802573764398
NP_001512	536.0	43.0	19.0	5.0		0.03465795043578226		0.1261049695490188
NP_001524	248.0	22.0	26.0	3.0		0.7209540817071882		0.7781600015494912
NP_001605	882.0	89.0	42.0	7.0		0.2135125286958889		0.3305398038994665
NP_001803	623.0	61.0	24.0	4.0		0.3120273614586201		0.4314753357669981
NP_001871	461.0	44.0	23.0	5.0		0.16582991812706535		0.2816152197143588
NP_001934	592.0	56.0	21.0	3.0		0.45937763338513915		0.5531281708106778
NP_001950	398.0	36.0	18.0	3.0		0.41042965175184604		0.528976080291821
NP_001978	1128.0	102.0	49.0	8.0		0.141831976488968		0.25704020312505804
NP_002264	1698.0	158.0	40.0	7.0		0.11972629961516425		0.23287423111960517
NP_002410	556.0	58.0	19.0	3.0		0.4590438643558063		0.5531281708106778
NP_002435	453.0	47.0	16.0	4.0		0.12218130163897409		0.23506619989237407
NP_002473	836.0	69.0	34.0	7.0		0.03954122190063346		0.13276321938347777
NP_002476	584.0	51.0	11.0	7.0		0.00044743180280741173		0.01846261910974945
NP_002516	210.0	20.0	16.0	3.0		0.39729135677217164		0.5183334408993198
NP_002523	309.0	27.0	16.0	7.0		0.002985333144349545		0.04529176856141739
NP_002559	173.0	15.0	3.0	3.0		0.011353370786119395		0.07825153839761977
NP_002645	769.0	72.0	17.0	5.0		0.03902351071729047		0.13276321938347777
NP_002678	807.0	76.0	24.0	4.0		0.2991305684288369		0.4147214930436355
NP_002826	1132.0	102.0	66.0	13.0		0.021417839536119858		0.10595623229536422
NP_002964	1098.0	103.0	48.0	5.0		0.8013251685736729		0.8203379557106222
NP_003061	519.0	49.0	36.0	6.0		0.2563882872520821		0.37401697948037255
NP_003103	264.0	24.0	13.0	3.0		0.16008510025740058		0.27599087089831076
NP_003119	1621.0	160.0	58.0	8.0		0.3805350153403387		0.5051602328642996
NP_003150	362.0	41.0	17.0	4.0		0.2618436944042653		0.37782337426267626
NP_003153	404.0	37.0	17.0	5.0		0.03965698442525137		0.13276321938347777
NP_003196	395.0	39.0	13.0	3.0		0.18001927223521372		0.29412379555968765
NP_003205	139.0	11.0	6.0	4.0		0.0076757431836952045		0.06908168865325684
NP_003283	976.0	91.0	25.0	6.0		0.048689245974809864		0.14354092020257847
NP_003371	2318.0	232.0	67.0	8.0		0.6822296271778232		0.7453990371016957
NP_003397	337.0	29.0	12.0	4.0		0.040006541984841694		0.13276321938347777
NP_003463	483.0	48.0	23.0	5.0		0.1721474720573183		0.2874537976806164
NP_003473	2017.0	181.0	74.0	11.0		0.15824926746361095		0.2746090229515602
NP_003556	748.0	64.0	19.0	4.0		0.1096080184349734		0.22301710929226665
NP_003600	1041.0	85.0	55.0	13.0		0.002401731267099975		0.04113933234935764
NP_003602	723.0	79.0	28.0	5.0		0.36750872003569524		0.49155448448099287
NP_003669	161.0	13.0	6.0	3.0		0.03350753758202409		0.12526832875539187
NP_003676	451.0	40.0	18.0	4.0		0.10988622079717389		0.22301710929226665
NP_003709	1041.0	98.0	47.0	6.0		0.4550498648637185		0.5531281708106778
NP_003751	485.0	41.0	22.0	6.0		0.024099651476890097		0.11014706295236164
NP_003878	328.0	31.0	9.0	4.0		0.0255120358256383		0.1103946404693817
NP_003886	519.0	57.0	26.0	4.0		0.5301898435865505		0.6119126311100246
NP_004229	703.0	70.0	42.0	5.0		0.6088766384088282		0.6792300315022852
NP_004230	638.0	71.0	20.0	4.0		0.29571402192587176		0.412136865203774
NP_004385	328.0	28.0	22.0	7.0		0.010025348109799761		0.07825153839761977
NP_004392	257.0	27.0	20.0	3.0		0.4803549128531625		0.5729755838159137
NP_004406	1710.0	170.0	61.0	8.0		0.5198718605738999		0.6040524244305051
NP_004439	880.0	90.0	19.0	6.0		0.026856811047069384		0.11055012919375072
NP_004450	803.0	83.0	35.0	4.0		0.7795965376678283		0.8085268779328454
NP_004454	425.0	39.0	8.0	4.0		0.016779560266003527		0.08909946501247873
NP_004570	296.0	26.0	8.0	4.0		0.01583647216643794		0.08755908582797373
NP_004652	247.0	25.0	18.0	4.0		0.2516695889044586		0.3701843537625139
NP_004680	413.0	38.0	16.0	6.0		0.01098106817065079		0.07825153839761977
NP_004705	140.0	9.0	8.0	4.0		0.008976987464843886		0.07567290687516026
NP_004730	226.0	21.0	9.0	5.0		0.007149005072037202		0.0665986261973992
NP_004756	420.0	38.0	24.0	3.0		0.4900156282875105		0.5795062330081694
NP_004815	180.0	16.0	6.0	3.0		0.03985471200524379		0.13276321938347777
NP_004831	424.0	40.0	18.0	3.0		0.418833639597854		0.5316890982543941
NP_004850	390.0	36.0	8.0	3.0		0.06564229476542195		0.1648422269138734
NP_004957	468.0	43.0	13.0	4.0		0.05532888902596988		0.1538201050931414
NP_005013	279.0	24.0	9.0	6.0		0.0011706420897994764		0.029600521413501044
NP_005057	345.0	32.0	22.0	3.0		0.4690144323022469		0.5621820847686074
NP_005086	906.0	74.0	35.0	5.0		0.22867511014557806		0.34013020584678416
NP_005110	2259.0	212.0	132.0	15.0		0.4529429563446809		0.5531281708106778
NP_005144	569.0	54.0	14.0	4.0		0.07063238450512022		0.16970948494216667
NP_005244	443.0	51.0	10.0	3.0		0.15159906386029157		0.26948561551409433
NP_005325	476.0	46.0	19.0	4.0		0.15067877831991966		0.26948561551409433
NP_005327	652.0	75.0	25.0	4.0		0.5323889106648326		0.6119126311100246
NP_005383	882.0	80.0	36.0	4.0		0.7679044110173959		0.803442745673516
NP_005432	361.0	31.0	17.0	3.0		0.22256533631581896		0.3388888034357678
NP_005490	120.0	10.0	6.0	3.0		0.03896627222586675		0.13276321938347777
NP_005511	410.0	41.0	15.0	6.0		0.01208404171112019		0.07825153839761977
NP_005564	834.0	84.0	37.0	7.0		0.17897466447901395		0.29411907396151726
NP_005569	660.0	74.0	22.0	4.0		0.3298427660868948		0.4479450352740182
NP_005742	715.0	67.0	24.0	3.0		0.5019280991526233		0.5857666387913032
NP_005745	383.0	34.0	10.0	5.0		0.007107158750766106		0.0665986261973992
NP_005753	1572.0	141.0	55.0	19.0		1.201052036576042e-05		0.0021258621047395942
NP_005804	712.0	69.0	22.0	5.0		0.09184840275001024		0.1943087723516153
NP_005808	674.0	76.0	27.0	5.0		0.36611282433490455		0.4909240144490766
NP_005839	832.0	71.0	53.0	13.0		0.0027977347469739107		0.04529176856141739
NP_005853	485.0	38.0	24.0	4.0		0.25864602297768075		0.37524873825450406
NP_005872	71.0	5.0	5.0	3.0		0.02588399427562182		0.1103946404693817
NP_005889	312.0	26.0	6.0	6.0		0.00022883791199333796		0.01350143680760694
NP_005911	548.0	50.0	14.0	3.0		0.17386760406254903		0.2878864979784189
NP_005913	346.0	28.0	12.0	4.0		0.033735161981207226		0.12526832875539187
NP_005917	483.0	42.0	12.0	5.0		0.011077386920485965		0.07825153839761977
NP_005957	325.0	28.0	10.0	5.0		0.006696177738511694		0.06558297094880265
NP_005960	592.0	53.0	14.0	4.0		0.06041246708608677		0.1595971145408561
NP_005964	433.0	39.0	13.0	3.0		0.15101260104648426		0.26948561551409433
NP_006006	981.0	88.0	40.0	8.0		0.058901078419151834		0.15783331586171942
NP_006026	475.0	43.0	25.0	3.0		0.7220824597845746		0.7781600015494912
NP_006139	348.0	32.0	13.0	4.0		0.057622601215515136		0.15771959404865227
NP_006176	2042.0	192.0	76.0	8.0		0.6935005015405995		0.7546081277009392
NP_006188	2778.0	234.0	86.0	11.0		0.18299069929221023		0.29806153780418293
NP_006212	127.0	12.0	7.0	3.0		0.06466580939907235		0.1648422269138734
NP_006245	816.0	83.0	33.0	4.0		0.769959547770328		0.803442745673516
NP_006247	685.0	72.0	23.0	3.0		0.7307134288057429		0.7781600015494912
NP_006259	424.0	41.0	20.0	3.0		0.45181359342167304		0.5531281708106778
NP_006280	1821.0	205.0	53.0	8.0		0.3945464266726606		0.5160200802048837
NP_006288	548.0	54.0	14.0	4.0		0.07805177861411958		0.17711749762434828
NP_006302	2180.0	197.0	97.0	13.0		0.21612357533099136		0.3326423724659606
NP_006319	1146.0	113.0	39.0	11.0		0.005316202179907017		0.058810486615221376
NP_006331	747.0	84.0	17.0	3.0		0.44834716058512836		0.5531281708106778
NP_006428	877.0	84.0	32.0	6.0		0.14435029207860472		0.26071430303992893
NP_006531	811.0	77.0	35.0	6.0		0.25391459530974053		0.3724548345565531
NP_006540	435.0	38.0	14.0	4.0		0.05854281099733272		0.15783331586171942
NP_006588	266.0	28.0	13.0	3.0		0.20711362048164741		0.32537672330104966
NP_006600	712.0	66.0	25.0	5.0		0.17457523982872108		0.2878864979784189
NP_006608	2778.0	285.0	66.0	8.0		0.683874691005069		0.7456621374203114
NP_006616	182.0	11.0	11.0	5.0		0.003607029031093741		0.0491110875771994
NP_006640	469.0	43.0	18.0	4.0		0.11848298244975379		0.23130317529712963
NP_006653	863.0	85.0	35.0	4.0		0.7732928040054285		0.8035586671758954
NP_006687	494.0	40.0	27.0	7.0		0.016159680623618503		0.08755908582797373
NP_006741	637.0	61.0	19.0	6.0		0.021763726723501565		0.10595623229536422
NP_006752	177.0	14.0	10.0	3.0		0.08156991707178349		0.18199002506351694
NP_006757	415.0	34.0	23.0	5.0		0.06794364436821107		0.16724588043131222
NP_006817	204.0	16.0	9.0	3.0		0.06398489637715878		0.1648422269138734
NP_006833	656.0	64.0	23.0	6.0		0.04507511449556606		0.14071175888213838
NP_006847	735.0	72.0	26.0	3.0		0.7388463382951929		0.7830886340014919
NP_008816	617.0	61.0	21.0	5.0		0.08666546483484211		0.1886039419151687
NP_008970	389.0	36.0	17.0	3.0		0.4043691599186866		0.5249878335374635
NP_008987	356.0	33.0	22.0	3.0		0.4687148955661602		0.5621820847686074
NP_008998	831.0	79.0	35.0	5.0		0.38978478071403444		0.5148649715401798
NP_009017	316.0	25.0	9.0	5.0		0.00359108849602013		0.0491110875771994
NP_009045	1271.0	127.0	42.0	6.0		0.4407562064500972		0.5493932995892057
NP_009057	596.0	58.0	20.0	5.0		0.07245832922825837		0.1725353041264807
NP_009101	313.0	28.0	8.0	5.0		0.0038972578700109117		0.05047424217014132
NP_009114	1202.0	110.0	26.0	3.0		0.7301424179881548		0.7781600015494912
NP_009160	284.0	28.0	12.0	4.0		0.05874815596758583		0.15783331586171942
NP_009178	1411.0	133.0	52.0	10.0		0.06321510836258398		0.1648422269138734
NP_009185	175.0	15.0	5.0	3.0		0.02664683263065858		0.1105427197412477
NP_009217	2547.0	258.0	72.0	12.0		0.12552915446200302		0.23891032623413477
NP_009298	540.0	49.0	32.0	5.0		0.2380597916961857		0.35211629356733876
NP_015559	736.0	69.0	37.0	5.0		0.4035400671341301		0.5249878335374635
NP_031397	212.0	19.0	7.0	4.0		0.01319874044571059		0.08117964724496458
NP_031398	288.0	20.0	10.0	4.0		0.014428839525485095		0.08238401922615683
NP_036228	341.0	29.0	16.0	3.0		0.1985135113145133		0.3144920595245489
NP_036252	757.0	76.0	34.0	4.0		0.7716681738107216		0.803442745673516
NP_036253	1065.0	105.0	32.0	6.0		0.15226809007148323		0.26948561551409433
NP_036288	1521.0	141.0	32.0	6.0		0.13453583880581535		0.2497850713492586
