	NotOutlier_PAM50_Basal_Basal	NotOutlier_PAM50_Basal_not-Basal	Outliers_PAM50_Basal_Basal	Outliers_PAM50_Basal_not-Basal	fisherp_PAM50_Basal_Basal	fisherp_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_not-Basal	fisherFDR_PAM50_Basal_Basal
NP_150091	119.0	427.0	16.0	3.0	2.708447697671557e-08			2.2634241226960158e-07
NP_150241	330.0	1195.0	23.0	19.0	4.182544743091828e-06			2.076063117934671e-05
NP_203744	246.0	821.0	23.0	2.0	8.847383509222254e-13			1.4207857047162795e-11
NP_203754	1278.0	4433.0	43.0	144.0	0.8585204103342058			0.8616767353721991
NP_277052	314.0	1116.0	14.0	35.0	0.2936268438233832			0.332614640513625
NP_361013	306.0	1050.0	10.0	25.0	0.4146155479999697			0.4491668436666338
NP_443094	226.0	943.0	51.0	12.0	4.037769291713353e-24			2.7557775415943633e-22
NP_444254	249.0	917.0	25.0	31.0	0.00020285942201223522			0.0005594002243367699
NP_490647	24.0	100.0	6.0	0.0	9.956967588353701e-05			0.0003057853996920786
NP_510880	360.0	1240.0	19.0	40.0	0.08411645156293984			0.11312212451567773
NP_542417	534.0	1870.0	10.0	23.0	0.29165410976622663			0.33175654985908276
NP_597734	534.0	1970.0	53.0	75.0	6.278771345755076e-07			3.809121283091412e-06
NP_612392	163.0	597.0	19.0	16.0	3.6408869931670775e-05			0.00013078449330718582
NP_612453	139.0	509.0	9.0	18.0	0.15538010130105523			0.18852785624528035
NP_612565	83.0	294.0	7.0	1.0	0.00020505053086580072			0.000559787949263636
NP_620048	14.0	68.0	8.0	1.0	2.8786003713890898e-05			0.00010619701370124615
NP_653205	194.0	710.0	10.0	4.0	0.00010419834188126839			0.00031259502564380515
NP_659449	98.0	347.0	8.0	12.0	0.09641481037496115			0.1259389628342794
NP_663304	104.0	401.0	7.0	6.0	0.009485742351697947			0.015887163570635212
NP_663719	248.0	876.0	21.0	17.0	1.3349238714611582e-05			5.359326719248473e-05
NP_663780	247.0	891.0	53.0	20.0	6.857144556456074e-19			2.6742863770178686e-17
NP_689449	236.0	834.0	20.0	15.0	1.0935511754005544e-05			4.5233253164295665e-05
NP_722560	148.0	541.0	12.0	10.0	0.0008944196010296128			0.001937909135564161
NP_733793	219.0	846.0	22.0	14.0	2.575660154246029e-07			1.6352447025794554e-06
NP_733821	631.0	2227.0	36.0	51.0	7.308606509546821e-05			0.0002375297115602717
NP_775782	215.0	790.0	21.0	28.0	0.0012098973037632742			0.0025213890376135405
NP_835260	208.0	742.0	21.0	12.0	5.469823737127637e-07			3.3937770005360114e-06
NP_919047	28.0	100.0	7.0	0.0	4.857617659743699e-05			0.0001637197063098802
NP_940953	167.0	563.0	11.0	22.0	0.20434051105505777			0.23738280645970541
NP_945344	140.0	482.0	28.0	19.0	1.8904392047671063e-07			1.2587558607351707e-06
NP_945353	61.0	262.0	11.0	3.0	4.621405182104201e-06			2.2134098503762227e-05
NP_955391	170.0	568.0	10.0	16.0	0.09596709954349737			0.1259389628342794
NP_958782	608.0	2089.0	23.0	62.0	0.35659308839562			0.390963506554234
NP_963293	193.0	797.0	43.0	5.0	5.327852496733382e-24			2.9090074632164266e-22
NP_996744	369.0	1273.0	21.0	23.0	0.00036570617225271696			0.000965932846250444
NP_997006	282.0	975.0	13.0	36.0	0.48857986810095755			0.5189972917959588
NP_998754	292.0	1045.0	15.0	36.0	0.22761357857503456			0.25999375293298926
