	NotOutlier_PAM50_LumB_LumB	NotOutlier_PAM50_LumB_not-LumB	Outliers_PAM50_LumB_LumB	Outliers_PAM50_LumB_not-LumB	fisherp_PAM50_LumB_LumB	fisherp_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_LumB
NP_055627	798.0	1884.0	44.0	77.0	0.12855378580951357			0.47052999008851537
NP_055647	325.0	755.0	11.0	14.0	0.1847345444380346			0.5270715780115515
NP_055845	251.0	557.0	14.0	21.0	0.2688301541723963			0.6191469403637895
NP_055855	126.0	312.0	11.0	19.0	0.4070478536423785			0.6937012717003914
NP_055869	239.0	516.0	13.0	26.0	0.860488803203811			0.9465376835241922
NP_055915	230.0	533.0	17.0	30.0	0.41511350593786145			0.7024997792794578
NP_055928	164.0	396.0	10.0	8.0	0.032626443071726935			0.269082746468255
NP_055940	504.0	1165.0	29.0	58.0	0.5505711625553986			0.768419873417484
NP_055964	53.0	115.0	7.0	4.0	0.04458303614634914			0.27686271282131103
NP_055979	114.0	253.0	9.0	16.0	0.6573969973834679			0.8553229750903185
NP_055995	231.0	569.0	11.0	13.0	0.10813165428719596			0.42898131700822
NP_056067	327.0	776.0	16.0	20.0	0.06523780218076146			0.31575096255488544
NP_056073	432.0	985.0	20.0	45.0	1.0			1.0
NP_056134	404.0	904.0	15.0	25.0	0.38802997881517143			0.6728332719887044
NP_056141	194.0	483.0	10.0	9.0	0.03740744073054639			0.269082746468255
NP_056171	676.0	1599.0	21.0	41.0	0.4835261081680343			0.7429961069943295
NP_056224	218.0	534.0	15.0	21.0	0.1331090392707258			0.47052999008851537
NP_056258	150.0	356.0	11.0	15.0	0.19056417813157378			0.5281110708977941
NP_056285	500.0	1115.0	11.0	21.0	0.701063873335779			0.8607935932807272
NP_056287	85.0	231.0	9.0	12.0	0.13274678245311589			0.47052999008851537
NP_056364	434.0	998.0	24.0	41.0	0.2718081036299901			0.6191469403637895
NP_056390	327.0	739.0	15.0	28.0	0.6136800435510026			0.8296679918399029
NP_056392	337.0	777.0	9.0	13.0	0.34858304226088477			0.648900740208724
NP_056988	313.0	708.0	15.0	31.0	0.7468990207655575			0.8773502681182151
NP_057336	181.0	448.0	10.0	20.0	0.6804871191818117			0.8607935932807272
NP_057404	462.0	1026.0	22.0	40.0	0.485096631839273			0.7429961069943295
NP_057541	259.0	578.0	15.0	27.0	0.4996382141450414			0.7510089926900622
NP_057562	294.0	665.0	18.0	40.0	1.0			1.0
NP_057710	80.0	184.0	10.0	7.0	0.0281916422126383			0.2630421165646498
NP_057733	136.0	312.0	8.0	13.0	0.472091610388191			0.7323472417560399
NP_059990	223.0	497.0	18.0	37.0	0.7646494091133518			0.8811674143115769
NP_060082	218.0	480.0	9.0	19.0	1.0			1.0
NP_060137	161.0	360.0	9.0	14.0	0.49048737919206553			0.7437264408620117
NP_060189	122.0	275.0	8.0	17.0	1.0			1.0
NP_060275	182.0	417.0	15.0	17.0	0.0758387877196054			0.3462827665687643
NP_060498	247.0	570.0	12.0	23.0	0.5795452109053647			0.7968746649948765
NP_060551	132.0	297.0	12.0	18.0	0.31175285807364606			0.6276707417329285
NP_060644	478.0	1121.0	25.0	44.0	0.28398888586934146			0.6191469403637895
NP_060707	59.0	157.0	8.0	7.0	0.041035532149104076			0.27584996611342183
NP_060757	310.0	712.0	17.0	18.0	0.025959583556186806			0.2630421165646498
NP_060873	275.0	646.0	16.0	21.0	0.09997474287270361			0.41006589449481823
NP_061155	213.0	484.0	10.0	22.0	1.0			1.0
NP_061857	257.0	589.0	13.0	19.0	0.24242024207971374			0.6171128085061017
NP_064504	428.0	988.0	17.0	27.0	0.24591630634080575			0.6171128085061017
NP_065176	692.0	1551.0	18.0	40.0	1.0			1.0
NP_065768	125.0	296.0	7.0	9.0	0.2682939666259488			0.6191469403637895
NP_065805	453.0	1053.0	27.0	47.0	0.24571634963338454			0.6171128085061017
NP_065812	152.0	356.0	10.0	14.0	0.25681860867078			0.6191469403637895
NP_065816	268.0	624.0	17.0	34.0	0.639225766666683			0.8453149482696025
NP_065823	270.0	587.0	14.0	27.0	0.7325654528071517			0.8754712166634315
NP_065897	343.0	764.0	15.0	29.0	0.7399731546339519			0.8754712166634315
NP_066959	105.0	248.0	9.0	11.0	0.20991111346440744			0.5582251588833692
NP_068375	64.0	163.0	11.0	10.0	0.026608496465938006			0.2630421165646498
NP_068506	640.0	1537.0	28.0	38.0	0.028260723267276428			0.2630421165646498
NP_071350	136.0	317.0	10.0	10.0	0.08081392055828587			0.36216608842787373
NP_071735	130.0	267.0	7.0	12.0	0.8033730586648408			0.9170579254570352
NP_071895	166.0	379.0	11.0	12.0	0.10538797590662041			0.4250648361567023
NP_072174	1568.0	3621.0	57.0	97.0	0.07556106140660108			0.3462827665687643
