	NotOutlier_PR Status_Negative	NotOutlier_PR Status_Positive	Outliers_PR Status_Negative	Outliers_PR Status_Positive	fisherp_PR Status_Negative	fisherp_PR Status_Positive	fisherFDR_PR Status_Positive	fisherFDR_PR Status_Negative
NP_067652	177.0	224.0	7.0	18.0		0.14553336085078927	0.3458557516689345	
NP_068375	114.0	113.0	6.0	15.0		0.06907211431864546	0.23062094367547742	
NP_068506	968.0	1209.0	23.0	43.0		0.132064785063433	0.3334635822851683	
NP_071735	179.0	218.0	4.0	15.0		0.05616574172669978	0.21027401898442688	
NP_071918	367.0	433.0	12.0	26.0		0.0959924542753757	0.28941008602426704	
NP_072174	2280.0	2909.0	57.0	97.0		0.09906584312930991	0.2947935913765439	
NP_073153	232.0	274.0	6.0	15.0		0.17820057423527436	0.3833173464815117	
NP_073568	482.0	664.0	27.0	43.0		0.6186992038718393	0.7645519415459123	
NP_073585	732.0	921.0	24.0	45.0		0.13743319337489218	0.3344759645991352	
NP_073605	413.0	574.0	26.0	51.0		0.1867098815400926	0.3949256133099341	
NP_073606	372.0	462.0	4.0	21.0		0.00390965417492115	0.04732978565063262	
NP_073613	211.0	299.0	11.0	19.0		0.7043489453018275	0.8200489161439144	
NP_073744	387.0	473.0	8.0	17.0		0.22527550124308332	0.42903530210462704	
NP_077003	352.0	452.0	12.0	32.0		0.04094887062009543	0.17788541645718875	
NP_078772	406.0	551.0	26.0	36.0		1.0	1.0	
NP_079031	403.0	557.0	22.0	38.0		0.500107386755956	0.6868207964500345	
NP_079052	578.0	740.0	15.0	31.0		0.17266897084094163	0.37504443128892695	
NP_079410	189.0	239.0	13.0	23.0		0.3856952807033228	0.5835988517009079	
NP_079440	319.0	432.0	9.0	22.0		0.19278465369943798	0.39737244946210687	
NP_079527	294.0	376.0	9.0	22.0		0.13710496830600966	0.3344759645991352	
NP_109590	460.0	624.0	20.0	28.0		1.0	1.0	
NP_110394	396.0	494.0	11.0	20.0		0.3616069817110748	0.5752121913967404	
