	NotOutlier_PAM50_LumB_LumB	NotOutlier_PAM50_LumB_not-LumB	Outliers_PAM50_LumB_LumB	Outliers_PAM50_LumB_not-LumB	fisherp_PAM50_LumB_LumB	fisherp_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_LumB
NP_056060	297.0	660.0	5.0	32.0		0.027275485183442763	0.05995460422398268	
NP_056067	339.0	758.0	4.0	38.0		0.0018311784228347311	0.006564070346469114	
NP_056069	297.0	677.0	7.0	33.0		0.11128632155428338	0.1865446972816405	
NP_056073	440.0	994.0	12.0	36.0		0.5238048510787192	0.6258796425709824	
NP_056171	671.0	1572.0	26.0	68.0		0.7301288146785059	0.7949533356079059	
NP_056193	395.0	933.0	23.0	55.0		1.0	1.0	
NP_056197	253.0	544.0	10.0	24.0		0.8525286363510511	0.9070281838803421	
NP_056272	393.0	859.0	9.0	55.0		0.0031287267605394483	0.009986210071310841	
NP_056285	508.0	1090.0	3.0	46.0		2.864869693039739e-05	0.00017474372500852808	
NP_056345	242.0	528.0	8.0	35.0		0.08940444871513711	0.1590170729055492	
NP_056364	448.0	1005.0	10.0	34.0		0.31919859943440243	0.43240275388497534	
NP_056371	750.0	1750.0	14.0	57.0		0.06549989531820909	0.12307641620276386	
NP_056390	330.0	734.0	12.0	33.0		0.6227094726305475	0.7009241889996018	
NP_056392	339.0	754.0	7.0	36.0		0.04236780767643933	0.08814017132687825	
NP_057332	480.0	1131.0	16.0	49.0		0.40844805374070814	0.5257922459756077	
NP_057541	264.0	575.0	10.0	30.0		0.4854294518760779	0.598907735136203	
NP_059990	233.0	511.0	8.0	23.0		0.6923196254295352	0.7681451082146747	
NP_060110	423.0	946.0	9.0	65.0		0.00036440124597935265	0.001632797890638253	
NP_060395	689.0	1540.0	15.0	59.0		0.054309773968887684	0.10633762466177168	
NP_060496	234.0	502.0	7.0	26.0		0.25097186486723366	0.36096570687694723	
NP_060537	668.0	1521.0	12.0	58.0		0.016677212472478817	0.03925040915239964	
NP_060644	488.0	1123.0	15.0	42.0		0.5607606357989888	0.6525979635448927	
NP_060679	282.0	632.0	7.0	25.0		0.33272403382875815	0.44216710439605417	
NP_060731	214.0	478.0	5.0	20.0		0.27823502507471776	0.38819617270903733	
NP_061322	428.0	955.0	16.0	37.0		1.0	1.0	
NP_062536	879.0	1935.0	15.0	130.0		8.158682427001367e-09	1.9009730054913187e-07	
NP_062565	433.0	969.0	14.0	48.0		0.20437592481350375	0.3092181200100414	
NP_062817	396.0	910.0	10.0	39.0		0.1545575236511395	0.24497893204568372	
NP_065176	687.0	1533.0	23.0	58.0		0.7136769639133039	0.7843713801499992	
NP_065805	478.0	1047.0	2.0	53.0		7.176349543326388e-07	8.800470755763414e-06	
NP_065816	283.0	632.0	2.0	26.0		0.0055865557244609175	0.016688044664094792	
NP_065875	497.0	1053.0	4.0	63.0		5.632751226238414e-07	7.720182563020884e-06	
NP_065897	348.0	761.0	10.0	32.0		0.39570928069749706	0.5122236800139823	
NP_065899	858.0	1982.0	9.0	76.0		3.175951181643156e-05	0.00018476904005132355	
NP_065905	254.0	541.0	5.0	27.0		0.05310892809387956	0.1048676292023215	
NP_065910	645.0	1445.0	17.0	43.0		0.7771248105287736	0.8344243357290518	
NP_067643	455.0	991.0	3.0	52.0		7.583234152240115e-06	5.889645191573156e-05	
NP_068506	655.0	1476.0	13.0	99.0		4.02106323749508e-06	4.0735118884189286e-05	
NP_071934	283.0	646.0	11.0	44.0		0.1285237529738075	0.21088756649927567	
NP_072096	223.0	490.0	5.0	18.0		0.4918577751733194	0.598907735136203	
NP_072174	1611.0	3482.0	14.0	236.0		3.2270327019428667e-23	7.51898619552688e-21	
NP_073153	163.0	344.0	1.0	19.0		0.011324042191448346	0.027773703480078574	
NP_073585	513.0	1156.0	6.0	47.0		0.002005634291362941	0.007080496816478262	
NP_073602	165.0	357.0	4.0	25.0		0.06023947250501568	0.11597009640920566	
NP_073744	260.0	585.0	9.0	31.0		0.2966320720734998	0.4089661112019257	
NP_075385	321.0	725.0	16.0	39.0		0.881367831365298	0.9167799317326537	
NP_079031	322.0	671.0	7.0	20.0		0.5382798212693162	0.6366456769327445	
NP_079052	404.0	914.0	1.0	45.0		1.8317920700190542e-06	2.0324169157830457e-05	
NP_109590	337.0	746.0	6.0	43.0		0.003879929552871218	0.012053647810919917	
NP_112533	278.0	619.0	15.0	38.0		0.7607586128831701	0.8206331333415678	
NP_113584	817.0	1852.0	16.0	64.0		0.04760129051400121	0.09644435382401984	
NP_114128	491.0	1127.0	12.0	31.0		0.866758247342646	0.909705728066831	
NP_115593	388.0	870.0	9.0	34.0		0.18165101645979748	0.2821645789008854	
NP_115941	226.0	491.0	0.0	35.0		4.233726178849605e-06	4.110242498633158e-05	
NP_149131	448.0	1024.0	10.0	48.0		0.03953408309289914	0.08374037600586817	
NP_150241	465.0	1047.0	11.0	44.0		0.10081414194925245	0.1766142486780137	
NP_203754	1780.0	3883.0	32.0	203.0		7.908954613204166e-10	2.1973433425221435e-08	
NP_277052	450.0	963.0	5.0	61.0		7.2136443743496485e-06	5.7957901352533384e-05	
NP_361013	413.0	935.0	0.0	43.0		4.2446894479959314e-07	6.593417609220347e-06	
NP_444254	358.0	791.0	5.0	68.0		1.9665632647915083e-06	2.0827692758928245e-05	
NP_510880	507.0	1076.0	12.0	64.0		0.0022245760701334527	0.007736212303598425	
NP_597734	788.0	1690.0	13.0	141.0		2.559234817825785e-11	8.518595893620112e-10	
NP_612142	243.0	526.0	6.0	22.0		0.30396952519577203	0.416617055121264	
NP_612206	264.0	601.0	5.0	22.0		0.20763409804772842	0.31212093448464984	
NP_612392	242.0	512.0	0.0	41.0		2.701798519388406e-07	4.496564678696419e-06	
NP_612429	815.0	1865.0	2.0	89.0		1.299010483598152e-11	5.044490711306157e-10	
NP_612453	206.0	439.0	5.0	25.0		0.10536176117664797	0.18184659521599242	
NP_663719	348.0	766.0	4.0	44.0		0.00032378961833391424	0.0014792741386627846	
NP_663780	355.0	764.0	2.0	90.0		3.0141103667731773e-12	1.4045754309163006e-10	
NP_683692	517.0	1187.0	11.0	33.0		0.5090872659193388	0.6145975800995127	
NP_689449	326.0	733.0	6.0	40.0		0.008385494536160294	0.023035767533361555	
NP_689969	309.0	700.0	12.0	30.0		0.8653018264292192	0.909705728066831	
NP_733793	330.0	726.0	6.0	39.0		0.012115293957154785	0.029101685484712012	
NP_733821	882.0	1961.0	13.0	89.0		3.901037666800157e-05	0.00021641470865819918	
NP_803187	119.0	245.0	2.0	26.0		0.004703489138630982	0.014419907490802878	
NP_835260	285.0	652.0	3.0	43.0		0.00018661581351747314	0.0008696296909914248	
NP_859066	257.0	563.0	3.0	36.0		0.001026596089317515	0.003858014335660984	
NP_872363	532.0	1247.0	18.0	56.0		0.36354862006709937	0.47588105885187726	
NP_898868	468.0	1058.0	11.0	40.0		0.21488585531850543	0.31890703368924694	
NP_940890	642.0	1524.0	31.0	88.0		0.4697285615007854	0.5881788499724291	
NP_940953	225.0	500.0	4.0	34.0		0.005898346578748577	0.017153416233650274	
NP_955391	220.0	512.0	7.0	25.0		0.4296157522454146	0.5484997460730345	
NP_958782	814.0	1865.0	19.0	84.0		0.008403606181698421	0.023035767533361555	
NP_963293	315.0	671.0	3.0	49.0		1.6664244813681075e-05	0.00011300778764236298	
NP_982284	381.0	881.0	7.0	34.0		0.08240421115249204	0.14883861394209802	
NP_998754	406.0	927.0	6.0	49.0		0.0013248650085588235	0.004823336671784467	
XP_003846661	401.0	942.0	10.0	32.0		0.4935205371079441	0.598907735136203	
XP_003960280	343.0	807.0	7.0	32.0		0.1514261527027289	0.2416595450666838	
NP_000225	273.0	650.0	11.0	6.0	0.005246280523000557			0.026231402615002782
NP_000359	217.0	513.0	14.0	12.0	0.015168928640460537			0.05321822016045209
NP_000480	774.0	1824.0	38.0	36.0	0.00015801494815295317			0.0015529338111180233
NP_000928	518.0	1152.0	19.0	21.0	0.03708428847346021			0.10092559521258158
NP_001002814	396.0	888.0	24.0	39.0	0.2646230464459714			0.37185591494041736
NP_001003698	359.0	815.0	11.0	14.0	0.18776939939377252			0.308426357659202
NP_001032242	479.0	1116.0	21.0	43.0	0.6770749209238671			0.7591787514008139
NP_001073860	393.0	839.0	18.0	37.0	0.8833740499780894			0.9175141098806243
NP_001077362	96.0	235.0	10.0	10.0	0.07550680096580421			0.16736043513039078
NP_001077430	107.0	272.0	11.0	13.0	0.10234384872712907			0.20758422147483724
NP_001098549	71.0	186.0	10.0	1.0	3.4862066149219524e-05			0.0007495344222082198
NP_001104595	127.0	320.0	13.0	24.0	0.450304699884047			0.543907362219495
NP_001106207	256.0	604.0	9.0	15.0	0.4978490283564544			0.5913676303681641
NP_001107854	390.0	870.0	18.0	20.0	0.04918808948418346			0.12441693222469935
NP_001121902	312.0	684.0	13.0	17.0	0.16782486487636855			0.2818933277220253
NP_001123544	219.0	528.0	8.0	17.0	0.823993966721851			0.8727029696807782
NP_001123999	509.0	1141.0	26.0	53.0	0.7093425807725804			0.7820956659800246
NP_001127854	319.0	718.0	16.0	36.0	1.0			1.0
NP_001128716	525.0	1156.0	14.0	21.0	0.27341773423507176			0.3768257234650027
NP_001136112	152.0	374.0	14.0	14.0	0.03179663059360521			0.09115034103500161
NP_001136157	443.0	1038.0	34.0	30.0	0.00015890485509114657			0.0015529338111180233
NP_001138678	493.0	1222.0	24.0	55.0	0.7995110159375958			0.8551983503810104
NP_001158136	493.0	1093.0	31.0	52.0	0.2276164881822106			0.3446305983040513
NP_001167459	183.0	427.0	17.0	7.0	6.478543639498189e-05			0.0009275543292898954
NP_001167558	183.0	414.0	9.0	12.0	0.2380698637043941			0.3530001427341016
NP_001191169	90.0	222.0	8.0	6.0	0.03481240610214155			0.09595727323026196
NP_001191397	266.0	612.0	13.0	24.0	0.5848850269929269			0.6760767785133295
NP_001191676	170.0	410.0	8.0	11.0	0.3058669406327459			0.4135936618618891
NP_001234918	158.0	365.0	18.0	29.0	0.2524344964722305			0.3597398349363921
NP_001240628	419.0	980.0	24.0	33.0	0.05652839293361144			0.13856344535760784
NP_001244904	126.0	304.0	18.0	8.0	9.158728424590534e-05			0.0009845633056434825
NP_001254489	386.0	951.0	27.0	10.0	5.963084662302824e-08			3.2051580059877677e-06
NP_001323	150.0	368.0	27.0	16.0	1.1992037322002317e-05			0.00036832686060435686
NP_001640	448.0	1024.0	14.0	23.0	0.3671494407191873			0.4784068469977289
NP_001931	269.0	638.0	17.0	30.0	0.3322738919635507			0.4437197936159218
NP_002005	92.0	217.0	21.0	4.0	1.1527743967944749e-07			4.620652642524008e-06
NP_002130	418.0	929.0	13.0	19.0	0.2513278194966744			0.3597398349363921
NP_002330	413.0	929.0	15.0	25.0	0.38700013158141555			0.49823370233535536
NP_002473	278.0	626.0	13.0	29.0	1.0			1.0
NP_002476	190.0	439.0	12.0	12.0	0.04507901245234702			0.1153808056816025
NP_002547	303.0	686.0	13.0	26.0	0.7252405833256641			0.79554451742356
NP_002703	114.0	257.0	9.0	11.0	0.21667062334830248			0.339266219035777
NP_002705	98.0	230.0	9.0	9.0	0.1123541839087227			0.219601359457958
NP_002826	375.0	892.0	16.0	30.0	0.511429314152437			0.6041610029822745
NP_003007	231.0	531.0	7.0	8.0	0.2552806187158789			0.3610877172625919
NP_003137	153.0	356.0	7.0	8.0	0.2526544887227684			0.3597398349363921
NP_003161	193.0	425.0	10.0	18.0	0.6779642803207269			0.7591787514008139
NP_003176	23.0	74.0	7.0	2.0	0.001906642426116073			0.010993215333555
NP_003278	107.0	277.0	14.0	13.0	0.014448844706718074			0.05321822016045209
NP_003473	670.0	1557.0	22.0	34.0	0.14287926102464232			0.2603308569516788
NP_003600	357.0	801.0	20.0	16.0	0.0029980586216799636			0.016114565091529805
NP_003602	221.0	568.0	31.0	15.0	1.289484458378793e-07			4.620652642524008e-06
NP_003617	320.0	785.0	21.0	36.0	0.23227782197960636			0.3479585889725402
NP_003619	521.0	1176.0	37.0	52.0	0.034758075477861666			0.09595727323026196
NP_003695	151.0	340.0	8.0	8.0	0.10877157520532055			0.2185597071882609
NP_003740	493.0	1142.0	35.0	57.0	0.12996948775443457			0.24511789357195995
NP_003891	419.0	972.0	44.0	57.0	0.007183607883207772			0.03217657697686815
NP_003900	90.0	227.0	17.0	6.0	1.8303874780940618e-05			0.0004919166347377792
NP_003904	487.0	1176.0	20.0	33.0	0.22028779673202498			0.339266219035777
NP_003913	177.0	428.0	16.0	8.0	0.00035342473164705855			0.0027137970465756283
NP_004324	168.0	426.0	20.0	13.0	0.00026029380286792973			0.002189869060342907
NP_004450	272.0	627.0	10.0	16.0	0.39029730883371483			0.4994876273764803
NP_004505	154.0	349.0	14.0	4.0	7.243218784876434e-05			0.0009275543292898954
NP_004630	150.0	347.0	7.0	10.0	0.421317615087073			0.5266470188588412
NP_004694	210.0	477.0	11.0	22.0	0.7038087293571496			0.7799942103700369
NP_004710	349.0	796.0	11.0	21.0	0.6977055991774137			0.7772368073738029
NP_004726	329.0	785.0	28.0	36.0	0.024305407538945462			0.07465232315533249
