	NotOutlier_PAM50_LumA_LumA	NotOutlier_PAM50_LumA_not-LumA	Outliers_PAM50_LumA_LumA	Outliers_PAM50_LumA_not-LumA	fisherp_PAM50_LumA_LumA	fisherp_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_LumA
NP_001243415	282.0	640.0	14.0	14.0	0.037403294894390954			0.0973479834699861
NP_001245303	456.0	1039.0	20.0	19.0	0.008017743678257519			0.030003995722459754
NP_001245308	233.0	502.0	17.0	17.0	0.03769848379474952			0.0973479834699861
NP_001265138	558.0	1274.0	20.0	30.0	0.16250298558274906			0.2717263037613181
NP_001422	410.0	919.0	23.0	20.0	0.0024957977868531067			0.011840529035303112
NP_001531	231.0	547.0	11.0	9.0	0.023935409470805857			0.0697546218863485
NP_001611	4294.0	9841.0	227.0	196.0	1.92110859263824e-22			3.91906152898201e-20
NP_001640	473.0	1011.0	13.0	12.0	0.04937074602800602			0.11067727681003547
NP_002087	301.0	672.0	11.0	19.0	0.5490482575354078			0.6120537952853725
NP_002264	553.0	1290.0	32.0	28.0	0.00028869131279960663			0.0021033224218257054
NP_002364	1003.0	2264.0	41.0	38.0	0.00011449937626156936			0.0011678936378680075
NP_002366	915.0	2095.0	39.0	53.0	0.016070464892740596			0.0504365359710628
NP_002471	338.0	781.0	14.0	20.0	0.18699223301725448			0.29551258654967855
NP_002574	113.0	254.0	9.0	5.0	0.015751407362399474			0.05020761096764832
NP_003001	104.0	260.0	15.0	5.0	4.085930104791963e-05			0.000555686494251707
NP_003038	242.0	558.0	13.0	23.0	0.4623824665190573			0.5329153851406084
NP_003119	569.0	1232.0	17.0	29.0	0.42723222848138004			0.5154697061089567
NP_003248	717.0	1561.0	32.0	40.0	0.028147359181566696			0.07975085101443898
NP_003371	792.0	1765.0	24.0	44.0	0.4296028139889423			0.5154697061089567
NP_003598	187.0	467.0	12.0	10.0	0.015057139638928643			0.048756452164149894
NP_003619	535.0	1172.0	32.0	47.0	0.10724769200204581			0.19710386638213825
NP_003891	421.0	980.0	35.0	56.0	0.10027633729591674			0.18767314503089005
NP_004148	130.0	301.0	12.0	22.0	0.5634275278316383			0.6219238383222137
NP_004299	174.0	386.0	9.0	16.0	0.6602931204912521			0.7117329932613358
NP_004482	414.0	965.0	16.0	11.0	0.0023343119327612323			0.011338086530554556
NP_004563	443.0	982.0	23.0	14.0	0.00021569647590753856			0.0017600832434055147
NP_004681	148.0	326.0	9.0	10.0	0.20696679054633987			0.31060893969083125
NP_004694	211.0	486.0	16.0	7.0	0.0001583213230062804			0.0014042412997078784
NP_004725	360.0	831.0	51.0	33.0	4.132586113044612e-08			1.6860951341222016e-06
NP_004726	358.0	774.0	15.0	31.0	0.8726859546520949			0.8901396737451368
NP_004850	129.0	292.0	7.0	9.0	0.2788709143266088			0.37477890906660233
NP_004915	230.0	537.0	18.0	24.0	0.08655886316526577			0.17483176322489324
NP_005076	481.0	1072.0	13.0	20.0	0.34232933749697425			0.43175188593711566
NP_005086	309.0	685.0	10.0	16.0	0.4013033800572102			0.48729696149804097
NP_005091	669.0	1484.0	49.0	17.0	1.7006562390693416e-12			1.1564462425671523e-10
NP_005110	776.0	1763.0	34.0	45.0	0.025349798747137976			0.07283604147064997
NP_005154	152.0	347.0	12.0	23.0	0.704971396069206			0.7300211411071981
NP_005222	414.0	942.0	18.0	26.0	0.1833888419539808			0.29420044606294565
NP_005446	224.0	495.0	8.0	10.0	0.30271721360658277			0.39586097163937745
NP_005742	246.0	539.0	11.0	13.0	0.17966550596271155			0.29321410573114526
NP_005766	225.0	507.0	17.0	14.0	0.009063780670604			0.031879504427641654
NP_005808	223.0	528.0	14.0	17.0	0.07411635946334967			0.15587358072704469
NP_005839	293.0	657.0	7.0	12.0	0.6183759853184825			0.6710037287498426
NP_005958	199.0	443.0	10.0	18.0	0.6772355332243203			0.7203799660745595
NP_006176	663.0	1571.0	31.0	53.0	0.18133695930146132			0.29359317220236597
NP_006188	924.0	2064.0	48.0	73.0	0.04553937205551611			0.10887043712681
NP_006280	641.0	1388.0	26.0	32.0	0.04448158774998015			0.10819794751794505
NP_006302	746.0	1671.0	24.0	46.0	0.599980534736501			0.6545242197125465
NP_006428	304.0	670.0	12.0	13.0	0.08341920460830113			0.1718941185868023
NP_006847	246.0	562.0	14.0	14.0	0.03676928273916305			0.0973479834699861
NP_009045	441.0	966.0	16.0	23.0	0.2220929305273623			0.31830320182241184
NP_009178	488.0	1073.0	16.0	29.0	0.5194281617834595			0.5854328453250041
NP_009217	847.0	1931.0	67.0	44.0	2.385846935519279e-10			1.2167819371148323e-08
NP_036228	109.0	259.0	11.0	10.0	0.04855334030784006			0.11067727681003547
NP_036252	256.0	582.0	12.0	21.0	0.5641271279971263			0.6219238383222137
NP_036387	230.0	521.0	11.0	22.0	0.704724397355489			0.7300211411071981
NP_036556	380.0	869.0	18.0	24.0	0.09125368368100353			0.1789976102973531
NP_036565	739.0	1654.0	22.0	40.0	0.486822859033225			0.5548148784512731
NP_036614	83.0	202.0	9.0	6.0	0.018823606578866767			0.05731366779237045
NP_054706	492.0	1105.0	12.0	23.0	0.7119671582728735			0.7335419206447787
NP_054767	220.0	507.0	18.0	9.0	0.00017230984738047503			0.0014646337027340378
NP_054831	522.0	1191.0	24.0	35.0	0.11386343374302808			0.20739411146051542
NP_054908	346.0	810.0	20.0	17.0	0.003163309486391169			0.014666253073268149
NP_055055	262.0	595.0	15.0	12.0	0.00997817875260094			0.03450082144967105
NP_055490	215.0	498.0	13.0	8.0	0.003378906376165678			0.014839138131028112
NP_055535	378.0	828.0	12.0	16.0	0.21833399820744614			0.31830320182241184
NP_055548	166.0	385.0	13.0	6.0	0.001500126352265849			0.00854444119656691
NP_055599	616.0	1317.0	20.0	30.0	0.22312430323825927			0.31830320182241184
NP_055601	581.0	1313.0	27.0	22.0	0.0004954255672734472			0.0032602198620575234
NP_055617	315.0	694.0	16.0	23.0	0.2195296364831731			0.31830320182241184
NP_055726	294.0	660.0	10.0	10.0	0.08620281050654935			0.17483176322489324
NP_055750	504.0	1086.0	23.0	49.0	1.0			1.0
NP_055792	826.0	1871.0	26.0	44.0	0.24063526780570266			0.3385489284990575
NP_055842	321.0	735.0	18.0	32.0	0.4331143334380463			0.5154697061089567
NP_055858	231.0	488.0	10.0	16.0	0.5248260367393554			0.5882665466748819
NP_055863	184.0	423.0	8.0	11.0	0.3132511256885085			0.4019071046569543
NP_055912	402.0	895.0	29.0	23.0	0.00037172211387124674			0.002614872801025322
NP_055927	517.0	1144.0	18.0	28.0	0.26101285141885266			0.3573598771103755
NP_055940	521.0	1197.0	23.0	15.0	0.00024296530960981146			0.0019063431984769823
NP_055972	689.0	1562.0	34.0	35.0	0.0014413277357815718			0.00854444119656691
NP_056018	525.0	1147.0	22.0	35.0	0.2497413389664797			0.34657981734123716
NP_056069	293.0	685.0	25.0	11.0	2.938282062488251e-06			5.994095407476031e-05
NP_056073	444.0	1003.0	14.0	21.0	0.26704322881018555			0.36317879118185237
NP_056077	235.0	560.0	15.0	14.0	0.013857025093980931			0.04619042417189996
NP_056134	417.0	902.0	16.0	13.0	0.014038266169891164			0.04619042417189996
NP_056182	160.0	366.0	10.0	21.0	0.8421223966669809			0.8632812508545934
NP_056285	489.0	1113.0	24.0	21.0	0.0017531553692462804			0.00941167619279582
NP_056371	794.0	1722.0	18.0	37.0	0.8836899752981626			0.8924393809941841
NP_056390	329.0	745.0	13.0	22.0	0.4573856623590078			0.5301515631888499
NP_056505	33.0	83.0	9.0	3.0	0.002165968969400374			0.01077701633555308
NP_056986	248.0	550.0	7.0	11.0	0.45344190470559725			0.5285837060568105
NP_057421	266.0	591.0	12.0	11.0	0.040155043476741877			0.10239536086569177
NP_057541	256.0	597.0	13.0	13.0	0.048963975037531554			0.11067727681003547
NP_059990	229.0	523.0	9.0	14.0	0.3669948146292765			0.4510056758094723
NP_060327	162.0	359.0	11.0	8.0	0.021878464785819632			0.06468415675807543
NP_060506	190.0	416.0	8.0	8.0	0.17060195498906833			0.2829495838843084
NP_060537	677.0	1524.0	23.0	35.0	0.15216852211600185			0.25868648759720314
NP_060644	499.0	1122.0	21.0	26.0	0.05418780045481934			0.12015555753025159
NP_060679	287.0	632.0	11.0	16.0	0.2987020659572928			0.39568325620316713
NP_061322	421.0	972.0	19.0	24.0	0.06355794395210834			0.1394174254433344
NP_062536	851.0	1990.0	57.0	61.0	5.791138482893712e-05			0.0006417255747767131
NP_065176	702.0	1529.0	27.0	43.0	0.23988532330745985			0.3385489284990575
NP_065827	184.0	425.0	12.0	17.0	0.21882648902149532			0.31830320182241184
NP_065857	142.0	324.0	10.0	11.0	0.14571568385262207			0.25406837184559744
NP_065899	893.0	1968.0	36.0	28.0	5.636197050087948e-05			0.0006417255747767131
NP_065905	243.0	556.0	13.0	15.0	0.09425883238513674			0.1831314457768371
NP_065910	649.0	1457.0	20.0	24.0	0.047444720203961115			0.10998548774554623
NP_065939	765.0	1664.0	24.0	52.0	1.0			1.0
NP_066997	279.0	616.0	9.0	16.0	0.6628885721551656			0.7117329932613358
NP_067643	437.0	1018.0	21.0	25.0	0.03317304426620489			0.09023068040407731
NP_071895	174.0	368.0	12.0	14.0	0.14004340789082012			0.24842482791067222
NP_072174	1580.0	3559.0	85.0	119.0	0.0015078425641000428			0.00854444119656691
NP_073153	150.0	362.0	8.0	7.0	0.08089935364869008			0.168402736166661
NP_073585	523.0	1154.0	23.0	22.0	0.008489457357059908			0.03092588037214681
NP_073602	158.0	366.0	11.0	16.0	0.28471290559815376			0.379617207464205
NP_073606	257.0	585.0	10.0	7.0	0.017248966855358386			0.05331498846201683
NP_075463	284.0	640.0	23.0	8.0	1.2853656578366274e-06			2.9134954910963557e-05
NP_078772	309.0	692.0	8.0	10.0	0.30263482592947477			0.39586097163937745
NP_078779	291.0	631.0	10.0	7.0	0.031750761320854845			0.08752912580343768
NP_078789	74.0	188.0	9.0	4.0	0.003418821039991771			0.014839138131028112
NP_079031	310.0	689.0	10.0	11.0	0.15100961041301575			0.25868648759720314
NP_079052	412.0	918.0	18.0	16.0	0.008682974992678751			0.031075910500113425
NP_079223	234.0	554.0	8.0	8.0	0.09819215643051112			0.1854740732576321
NP_079440	237.0	523.0	9.0	13.0	0.3551126532596811			0.43904837130287844
NP_113584	839.0	1846.0	24.0	40.0	0.2792470302849194			0.37477890906660233
NP_149107	259.0	630.0	17.0	15.0	0.005508742772310365			0.022934357664312538
NP_149131	462.0	1020.0	18.0	30.0	0.34709465340042633			0.43175188593711566
NP_277052	430.0	1000.0	19.0	30.0	0.2070726264605542			0.31060893969083125
NP_361013	424.0	932.0	15.0	20.0	0.14545134193074233			0.25406837184559744
NP_444507	114.0	259.0	19.0	7.0	3.858273824091243e-05			0.000555686494251707
NP_476510	305.0	696.0	10.0	13.0	0.2515227551023416			0.3466935273032276
NP_542416	275.0	565.0	16.0	20.0	0.15128587410759367			0.25868648759720314
NP_542775	220.0	481.0	20.0	29.0	0.20449125668242502			0.31060893969083125
NP_597677	507.0	1095.0	14.0	23.0	0.47535749422663354			0.5447917349563665
NP_597734	775.0	1729.0	64.0	64.0	1.4927794302779738e-05			0.00025377250314725556
NP_612429	874.0	1826.0	36.0	35.0	0.0019059637784071756			0.009969656687052918
NP_612453	199.0	449.0	13.0	14.0	0.08786891047704745			0.1757378209540949
NP_620137	325.0	749.0	10.0	16.0	0.39097096251622176			0.47759327157670206
