	NotOutlier_PAM50_LumB_LumB	NotOutlier_PAM50_LumB_not-LumB	Outliers_PAM50_LumB_LumB	Outliers_PAM50_LumB_not-LumB	fisherp_PAM50_LumB_LumB	fisherp_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_not-LumB	fisherFDR_PAM50_LumB_LumB
NP_116165	255.0	553.0	4.0	40.0		0.0011051170683200845	0.015422736791091442	
NP_116253	81.0	195.0	5.0	20.0		0.366353726581721	0.5240123241996273	
NP_150241	466.0	1047.0	10.0	44.0		0.06946186697635036	0.1879126296097057	
NP_203744	318.0	733.0	8.0	33.0		0.16531454963482595	0.3213200801681775	
NP_444254	357.0	821.0	6.0	38.0		0.017822944728566173	0.07763553890239841	
NP_444271	169.0	387.0	12.0	29.0		1.0	1.0	
NP_476510	313.0	669.0	11.0	31.0		0.5010827012023882	0.6503952232778473	
NP_542417	710.0	1634.0	16.0	77.0		0.005501766872488857	0.040398688177989604	
NP_597677	485.0	1081.0	18.0	55.0		0.29934384573001854	0.46095308043635713	
NP_597734	786.0	1778.0	15.0	53.0		0.14277931236683727	0.2983477584602603	
NP_612429	806.0	1911.0	11.0	43.0		0.1742805973841	0.32180340744503455	
NP_620147	252.0	588.0	6.0	40.0		0.012144509024292191	0.06281684378329674	
NP_653205	260.0	602.0	8.0	48.0		0.00978610642357116	0.05715975797404064	
NP_680780	332.0	753.0	15.0	39.0		0.7625522964715917	0.868799171856398	
NP_683692	512.0	1158.0	16.0	62.0		0.05884438071141357	0.17584890514922427	
NP_689449	326.0	750.0	6.0	23.0		0.3106093058684003	0.464108090745226	
NP_733751	428.0	928.0	11.0	61.0		0.0035902443160612417	0.0313692163311088	
NP_775266	147.0	311.0	4.0	19.0		0.1702099198207987	0.32180340744503455	
NP_872363	539.0	1262.0	11.0	41.0		0.21765525473463965	0.38052653378777135	
NP_892017	390.0	884.0	9.0	44.0		0.032869360926974005	0.1165910859783428	
NP_898868	468.0	1048.0	11.0	50.0		0.033117312359607104	0.1165910859783428	
NP_940890	662.0	1557.0	11.0	55.0		0.01969826069893288	0.08299103278075	
NP_942595	292.0	653.0	11.0	27.0		0.8598286180535479	0.9559833970970546	
NP_958431	414.0	943.0	7.0	25.0		0.33657684143572514	0.4971278634998929	
NP_976226	238.0	530.0	4.0	24.0		0.061890830242693096	0.17871846485811377	
NP_976324	306.0	699.0	15.0	36.0		1.0	1.0	
NP_982284	382.0	889.0	6.0	26.0		0.23899913447330917	0.4067733613221222	
NP_991403	302.0	711.0	7.0	29.0		0.19841377141043864	0.35658978498239674	
NP_000415	430.0	1014.0	11.0	15.0	0.19477334780426098			0.5202498632140129
NP_000499	218.0	492.0	10.0	11.0	0.14861708971195983			0.5049271219191581
NP_001003408	429.0	1027.0	12.0	14.0	0.08192533149773722			0.3708789555681833
NP_001025053	368.0	857.0	13.0	30.0	1.0			1.0
NP_001026902	143.0	325.0	9.0	15.0	0.49980900745253276			0.7872592106685923
NP_001035919	290.0	693.0	13.0	21.0	0.3395115475886728			0.6573067828392023
NP_001041648	347.0	824.0	20.0	26.0	0.05002359523818807			0.33195298462941425
NP_001078927	799.0	1837.0	39.0	71.0	0.24702507542652563			0.5609355228968438
NP_001096123	166.0	383.0	10.0	16.0	0.387768157408223			0.6966100526891086
NP_001104026	1018.0	2333.0	26.0	58.0	0.9047639562604284			0.9616077650307171
