	NotOutlier_PAM50_Her2_Her2	NotOutlier_PAM50_Her2_not-Her2	Outliers_PAM50_Her2_Her2	Outliers_PAM50_Her2_not-Her2	fisherp_PAM50_Her2_Her2	fisherp_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_Her2
NP_003452	180.0	976.0	6.0	16.0	0.14094594185034492			0.19275784570810411
NP_003463	73.0	458.0	12.0	16.0	0.00027946576206264536			0.002698981134525399
NP_003473	354.0	1844.0	18.0	67.0	0.23000612383684427			0.2820466155429459
NP_003565	40.0	247.0	11.0	6.0	6.153703010938923e-06			0.00020010930531868054
NP_003600	163.0	963.0	23.0	45.0	0.00010194918725815334			0.00138491786437474
NP_003602	119.0	683.0	13.0	20.0	0.0007291846318211126			0.005163097634991426
NP_003613	194.0	1014.0	13.0	46.0	0.2113310811721931			0.2639383915635641
NP_003617	167.0	942.0	18.0	35.0	0.000802259283577712			0.005502997273290869
NP_003619	264.0	1473.0	19.0	30.0	7.097125168945955e-05			0.001102311287689011
NP_003676	72.0	419.0	8.0	14.0	0.012394505866039959			0.03510443919478414
NP_003709	174.0	965.0	15.0	38.0	0.01901662506773537			0.04663853857394318
NP_003734	56.0	337.0	7.0	14.0	0.027279421977005256			0.0603186717473451
NP_003740	254.0	1424.0	19.0	30.0	6.794237762451077e-05			0.0010846074100785536
NP_003742	42.0	247.0	6.0	12.0	0.0447632028904453			0.08433925351461583
NP_003751	82.0	444.0	5.0	23.0	0.7888768425085981			0.8007327950549702
NP_003759	50.0	273.0	5.0	15.0	0.34003063155321367			0.3837363682567116
NP_003760	68.0	385.0	6.0	19.0	0.2519820231881116			0.3034845217546803
NP_003807	29.0	186.0	5.0	13.0	0.15348522468609666			0.20356499588276866
NP_003852	96.0	479.0	6.0	20.0	0.4210009158609751			0.4580406494745181
NP_003861	54.0	340.0	9.0	10.0	0.0006846165205705606			0.005009110875507935
NP_003886	92.0	484.0	8.0	22.0	0.1313372823413061			0.1833293066703764
NP_003897	63.0	331.0	6.0	10.0	0.036312871687701906			0.07281666820545833
NP_003904	269.0	1356.0	29.0	62.0	0.0005183151234645091			0.004253090452353636
NP_003912	23.0	122.0	5.0	8.0	0.056098496794016524			0.09970542547600508
NP_003913	80.0	520.0	11.0	18.0	0.0011945056690967557			0.007134530458958854
NP_003984	41.0	202.0	6.0	8.0	0.025600646952760073			0.05734022455235547
NP_003989	73.0	408.0	4.0	13.0	0.31500939372705006			0.36012792668274735
NP_004028	70.0	371.0	4.0	12.0	0.30696186861343006			0.3518440217266209
NP_004136	193.0	1044.0	20.0	38.0	0.000767224294346149			0.005307792448888848
NP_004152	23.0	141.0	4.0	8.0	0.09117621872586537			0.14044336849352596
NP_004220	57.0	288.0	6.0	9.0	0.031038301343709232			0.0648848299518493
NP_004299	83.0	477.0	5.0	20.0	0.5641193772114801			0.5924603028608606
NP_004313	62.0	342.0	6.0	17.0	0.23433526239634217			0.2861562731348935
NP_004318	124.0	594.0	8.0	18.0	0.1106781062460577			0.16168947967394118
NP_004324	97.0	516.0	7.0	7.0	0.0035742840608105004			0.014943911454245805
NP_004371	84.0	449.0	9.0	22.0	0.07636341720703962			0.12324830938930291
NP_004385	52.0	304.0	10.0	19.0	0.014225085711906615			0.03915243026662698
NP_004386	130.0	659.0	8.0	25.0	0.23737611081225835			0.28866513198499005
NP_004392	44.0	240.0	5.0	18.0	0.38651052651814644			0.4247262106169369
NP_004406	282.0	1598.0	17.0	52.0	0.0395445439227332			0.07767362318603971
NP_004414	62.0	360.0	6.0	19.0	0.24599353653203793			0.29708710464254373
NP_004437	129.0	679.0	9.0	30.0	0.2645314058561412			0.3139015229552774
NP_004438	84.0	489.0	4.0	10.0	0.14385684983620234			0.194616816881642
NP_004450	123.0	763.0	15.0	24.0	0.00019706269345327488			0.0021627630606496917
NP_004505	76.0	434.0	5.0	6.0	0.017286796241038873			0.0442501664712307
NP_004588	21.0	130.0	6.0	4.0	0.0017196691465581975			0.009420630726631695
NP_004630	78.0	406.0	6.0	24.0	0.6095980315481906			0.6349075583621724
NP_004636	81.0	456.0	6.0	15.0	0.11852874827796567			0.1689419496559316
NP_004648	85.0	490.0	6.0	8.0	0.012254284167770328			0.035009408142461285
NP_004658	52.0	287.0	4.0	4.0	0.025894533485214494			0.057704061928980525
NP_004710	192.0	924.0	15.0	46.0	0.16500435811619185			0.21622959168062156
NP_004726	173.0	949.0	11.0	45.0	0.44872053737165896			0.48579116129755434
NP_004756	76.0	382.0	7.0	20.0	0.19784339742711915			0.24993741430361238
NP_004765	225.0	1167.0	16.0	32.0	0.004686875250110393			0.018453257711196974
NP_004783	134.0	770.0	21.0	29.0	7.238170538165607e-06			0.0002118371244169801
NP_004801	30.0	171.0	4.0	3.0	0.014727691113156293			0.04003378575031339
