	NotOutlier_PAM50_LumA_LumA	NotOutlier_PAM50_LumA_not-LumA	Outliers_PAM50_LumA_LumA	Outliers_PAM50_LumA_not-LumA	fisherp_PAM50_LumA_LumA	fisherp_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_not-LumA	fisherFDR_PAM50_LumA_LumA
NP_073744	263.0	597.0	10.0	15.0	0.3791928472917488			0.5477230016436372
NP_075385	323.0	726.0	26.0	26.0	0.00553427287533516			0.04698484726815157
NP_076413	110.0	249.0	7.0	13.0	0.8039298154093321			0.8797099065209724
NP_077003	238.0	568.0	21.0	21.0	0.00896855846928847			0.0690911170967408
NP_078772	298.0	662.0	19.0	40.0	0.8850430644170704			0.9135928406885887
NP_078811	145.0	337.0	7.0	8.0	0.2524744161929649			0.4412998199003084
NP_079010	260.0	557.0	11.0	17.0	0.414588808764671			0.5748964814870106
NP_079066	138.0	325.0	9.0	7.0	0.04884255335534748			0.17823247540196974
NP_079410	131.0	300.0	17.0	16.0	0.018695482495293785			0.09844709769673689
NP_079477	143.0	332.0	9.0	12.0	0.23068766059903328			0.41543751865453615
NP_079527	206.0	465.0	16.0	14.0	0.014609053082914089			0.08681951546417516
NP_109590	337.0	755.0	15.0	25.0	0.3868330953400497			0.5516777733482039
NP_110394	261.0	631.0	11.0	18.0	0.3077383820843085			0.4942824978651441
NP_112197	240.0	548.0	14.0	19.0	0.17739981775439523			0.3635385427873321
NP_112223	123.0	287.0	8.0	14.0	0.6342163248701518			0.7431943412562906
NP_112533	284.0	641.0	11.0	14.0	0.18803085458832158			0.3715234495817574
NP_112553	154.0	350.0	10.0	12.0	0.1597690244864555			0.34924218756538283
NP_112604	158.0	371.0	19.0	26.0	0.09372471250569087			0.2620189660134793
NP_113584	820.0	1813.0	43.0	73.0	0.18456579831976075			0.3715234495817574
NP_113612	91.0	220.0	10.0	10.0	0.07627496261166714			0.23470394899713798
NP_115593	385.0	865.0	21.0	30.0	0.12442667554386028			0.3026988130189817
NP_115754	162.0	406.0	14.0	12.0	0.00822054078632308			0.06705382288451767
NP_115820	188.0	424.0	10.0	20.0	0.8398058391632115			0.9027370260772507
NP_116020	188.0	439.0	13.0	13.0	0.04824683977503855			0.17761668448155785
NP_116021	137.0	319.0	7.0	2.0	0.004842508930748512			0.04295100480225149
NP_116114	344.0	746.0	36.0	54.0	0.10173676636455153			0.27129804363880405
NP_116165	244.0	564.0	18.0	26.0	0.13484691204286756			0.30822151324084013
NP_116204	167.0	386.0	9.0	10.0	0.13022600720174585			0.30762800816627667
NP_150241	462.0	1051.0	18.0	36.0	0.6543064619319641			0.7581935603445601
NP_203744	303.0	748.0	24.0	17.0	0.00016040538530003398			0.006066240025892194
NP_203752	309.0	723.0	13.0	12.0	0.026045712774414625			0.12216297435618954
NP_203754	1768.0	3956.0	55.0	119.0	0.8677841590177647			0.9070306787723371
NP_277052	430.0	990.0	19.0	40.0	0.7731886006480824			0.8531736283013323
NP_361013	424.0	927.0	15.0	25.0	0.39451359716881423			0.5559107250684536
NP_443094	347.0	829.0	26.0	30.0	0.010689810136100646			0.07537222062064183
NP_444271	171.0	385.0	13.0	28.0	0.8628430622174101			0.9041378183436841
NP_476510	295.0	687.0	20.0	22.0	0.02498788014841117			0.11948227749125341
NP_510880	467.0	1135.0	28.0	29.0	0.0018427777801922384			0.029484444483075814
NP_542417	720.0	1624.0	35.0	58.0	0.17014108718810683			0.3538934613512622
NP_570613	174.0	401.0	13.0	17.0	0.15563570984504893			0.3443854005081934
NP_570899	221.0	513.0	11.0	17.0	0.3012888977617838			0.48768942205798466
NP_597677	494.0	1072.0	27.0	46.0	0.3680089967467377			0.5406520895280063
NP_612142	227.0	535.0	15.0	20.0	0.13088980155151675			0.30762800816627667
NP_620147	255.0	585.0	21.0	25.0	0.03382241470942993			0.14357269917472296
NP_620305	502.0	1137.0	22.0	41.0	0.48777734404374107			0.6341105472568634
NP_653205	270.0	592.0	18.0	38.0	0.8827772624760377			0.9135207492289346
NP_659430	44.0	146.0	7.0	3.0	0.00311956236143146			0.03712264339905151
NP_660095	128.0	273.0	9.0	10.0	0.2091445602798969			0.3919105273713383
NP_663719	345.0	777.0	15.0	25.0	0.38581663005664224			0.5516777733482039
NP_680780	333.0	752.0	20.0	34.0	0.36565558805060616			0.5406520895280063
NP_689449	333.0	743.0	15.0	14.0	0.024484854041330134			0.11843836373480622
