	NotOutlier_PIK3CA.Mutation.Status_False	NotOutlier_PIK3CA.Mutation.Status_True	Outliers_PIK3CA.Mutation.Status_False	Outliers_PIK3CA.Mutation.Status_True	fisherp_PIK3CA.Mutation.Status_False	fisherp_PIK3CA.Mutation.Status_True	fisherFDR_PIK3CA.Mutation.Status_False	fisherFDR_PIK3CA.Mutation.Status_True
NP_620147	542.0	298.0	19.0	27.0		0.0024565711320207713		0.04899494646641427
NP_620305	1073.0	556.0	43.0	30.0		0.2568487118061261		0.4870820835789313
NP_653205	559.0	303.0	35.0	21.0		0.7732624610660266		0.8424368808707637
NP_658988	352.0	168.0	18.0	11.0		0.5449538581545145		0.7066446442968582
NP_663780	814.0	367.0	15.0	15.0		0.04425308341593958		0.17564824477431243
NP_680780	703.0	380.0	34.0	22.0		0.5667926066735622		0.719585031879543
NP_683692	1102.0	563.0	41.0	42.0		0.002881192908088865		0.05443938178967908
NP_689749	607.0	307.0	14.0	13.0		0.14770864071416664		0.3500187529582575
NP_705833	579.0	304.0	9.0	12.0		0.03761498560998555		0.1623034154777527
NP_733793	695.0	366.0	19.0	21.0		0.027090175416175408		0.1408565974398624
NP_757366	628.0	328.0	12.0	11.0		0.18835780274051428		0.3954412349932434
NP_775114	645.0	339.0	14.0	16.0		0.049904432952615894		0.18783019967083273
NP_775782	662.0	351.0	22.0	19.0		0.13458467617485143		0.3318740726398113
NP_778228	873.0	410.0	28.0	20.0		0.16017684116754444		0.36247201143742214
NP_821133	406.0	207.0	14.0	11.0		0.2901525918981709		0.49844280834269505
NP_835260	639.0	305.0	22.0	17.0		0.16356675725031306		0.36247201143742214
NP_848927	578.0	279.0	15.0	20.0		0.00525387799926586		0.0696302102494654
NP_852608	287.0	137.0	8.0	9.0		0.1115836994887966		0.3034738493672574
NP_859063	233.0	90.0	4.0	14.0		2.9418353962441245e-05		0.0035203963575054687
NP_872363	1187.0	607.0	36.0	23.0		0.4055434926894478		0.5966807945717695
NP_891847	226.0	125.0	14.0	13.0		0.21576770022736314		0.4327408066012478
NP_909122	313.0	163.0	20.0	16.0		0.27625785311042766		0.4961619441198489
NP_919254	733.0	360.0	24.0	23.0		0.02719009146252439		0.1408565974398624
NP_940890	1461.0	753.0	44.0	27.0		0.5252140352469217		0.7017475816869094
NP_958431	906.0	449.0	21.0	13.0		0.5812766269022968		0.7252205338146593
NP_958782	1748.0	918.0	74.0	42.0		0.6908670917690072		0.794940019054723
NP_976226	506.0	258.0	17.0	15.0		0.13200823502863168		0.32910386371721373
NP_976324	675.0	329.0	31.0	21.0		0.2902529255133308		0.49844280834269505
NP_982284	844.0	429.0	13.0	17.0		0.011224295549661813		0.09760705442611546
NP_991403	675.0	336.0	22.0	16.0		0.29385244111229575		0.49844280834269505
NP_996744	1079.0	567.0	25.0	15.0		0.7370698441926598		0.8214495591062997
XP_003846661	876.0	453.0	35.0	21.0		0.6664570723583698		0.7844527507431304
XP_003960297	274.0	131.0	10.0	12.0		0.037976286629892		0.1623034154777527
