	NotOutlier_ER Status_Negative	NotOutlier_ER Status_Positive	Outliers_ER Status_Negative	Outliers_ER Status_Positive	fisherp_ER Status_Negative	fisherp_ER Status_Positive	fisherFDR_ER Status_Positive	fisherFDR_ER Status_Negative
NP_005076	482.0	1063.0	20.0	21.0	0.025550967828835185			0.03926124324918577
NP_005110	779.0	1747.0	29.0	63.0	0.9086749193155683			0.9115687884853632
NP_005242	43.0	118.0	18.0	2.0	4.942684229135427e-08			3.538512573131044e-07
NP_005244	157.0	333.0	9.0	8.0	0.11096845041663969			0.14384799128082923
NP_005302	51.0	133.0	14.0	5.0	0.00011233046665249394			0.00036478450510861433
NP_005327	211.0	507.0	27.0	11.0	3.131374759559913e-07			1.9340844103164166e-06
NP_005349	795.0	1798.0	55.0	63.0	0.0005019213646358874			0.0013102760014824246
NP_005372	366.0	827.0	29.0	21.0	0.00013385898641648757			0.00042165580721193586
NP_005409	373.0	828.0	19.0	25.0	0.09896726867885026			0.13134936496472926
NP_005426	519.0	1176.0	22.0	38.0	0.3216794724259502			0.361889406479194
NP_005427	308.0	665.0	18.0	21.0	0.0788601082923179			0.10723814443686037
NP_005545	167.0	366.0	41.0	12.0	9.911256010863694e-11			1.3008523514258596e-09
NP_005547	192.0	433.0	17.0	10.0	0.0010639350594239757			0.0025583171276225367
NP_005549	255.0	617.0	42.0	18.0	4.400928875803034e-10			4.620975319593186e-09
NP_005564	286.0	633.0	16.0	27.0	0.40390476608818926			0.4448601444677609
NP_005624	170.0	439.0	23.0	8.0	2.7201872312302274e-07			1.7137179556750433e-06
NP_005641	457.0	985.0	28.0	9.0	7.68077131233955e-08			5.259658616058604e-07
NP_005804	226.0	550.0	20.0	12.0	0.00023900457696175302			0.0006907013003940569
NP_005900	1666.0	3792.0	115.0	180.0	0.002877273604718545			0.006123926928961768
NP_005957	102.0	241.0	18.0	7.0	3.4280086448867674e-05			0.00013843881065888868
NP_005959	267.0	592.0	16.0	24.0	0.29539050627939323			0.33713046912322053
NP_006087	250.0	598.0	28.0	5.0	1.596483577802094e-10			1.862564174102443e-09
NP_006247	228.0	530.0	15.0	10.0	0.0032099289641397796			0.006696209428503514
NP_006258	1262.0	2838.0	56.0	65.0	0.000454036482294856			0.0012018612766628541
NP_006266	228.0	504.0	10.0	18.0	0.6784896463591944			0.703040258562981
NP_006280	624.0	1380.0	30.0	53.0	0.33593690133447196			0.3765840708909561
NP_006319	390.0	873.0	25.0	21.0	0.0017940016862808788			0.0040078761076487715
NP_006448	411.0	960.0	26.0	35.0	0.04577517428219181			0.06644783363543973
NP_006460	121.0	289.0	21.0	4.0	7.237629852627316e-08			5.066340896839121e-07
NP_006608	900.0	2116.0	95.0	26.0	3.943217479392714e-27			6.210567530043524e-25
NP_006640	157.0	355.0	11.0	11.0	0.06328029192662865			0.0885924086972801
NP_006654	470.0	1095.0	32.0	27.0	0.0001548177046970392			0.00046891900941891686
NP_008818	137.0	323.0	9.0	12.0	0.22700371628640578			0.26983460615176535
NP_008835	158.0	360.0	14.0	11.0	0.013522258037179286			0.02327601793284959
NP_008872	54.0	141.0	22.0	0.0	9.735967647006044e-12			1.6141209520036337e-10
NP_009057	201.0	448.0	14.0	16.0	0.1060718532888342			0.13806873465282138
NP_009114	390.0	903.0	18.0	30.0	0.26862748666636427			0.312242281549464
NP_009131	910.0	2037.0	60.0	63.0	6.244768302112582e-05			0.00022102269833319812
NP_009298	180.0	422.0	13.0	11.0	0.021606414046644894			0.03403010212346571
NP_036222	436.0	923.0	17.0	32.0	0.7558566172250928			0.7730351767074812
NP_036253	341.0	812.0	30.0	25.0	0.00024166586648638976			0.0006920431631201162
NP_036288	474.0	1154.0	36.0	36.0	0.00031867572488888067			0.0008728943768695428
NP_036387	226.0	516.0	16.0	26.0	0.30580959139374003			0.3465108679461443
NP_036441	395.0	905.0	29.0	23.0	0.00020829092288913455			0.0006075151917599757
NP_054706	496.0	1088.0	24.0	24.0	0.010941257269874641			0.019694263085774353
NP_054749	302.0	668.0	19.0	30.0	0.27190050390382337			0.3148847747415601
NP_054908	352.0	792.0	16.0	33.0	0.7545336318216831			0.7730351767074812
NP_055053	197.0	476.0	30.0	9.0	3.494233982045074e-09			2.9748208225518872e-08
NP_055144	331.0	754.0	18.0	24.0	0.09191748365016245			0.1226864718211914
NP_055160	752.0	1698.0	33.0	39.0	0.009271806629984385			0.01689294068554893
NP_055205	136.0	329.0	17.0	6.0	2.1422098806028435e-05			8.878896215656523e-05
NP_055385	236.0	511.0	11.0	8.0	0.023141813315310275			0.0362670208672773
NP_055412	272.0	648.0	22.0	15.0	0.0003617288557381694			0.0009656321148942658
NP_055418	125.0	275.0	13.0	16.0	0.15042113617344158			0.18877552946069362
NP_055446	313.0	700.0	13.0	16.0	0.15299316332765545			0.1912414541595693
NP_055456	633.0	1472.0	41.0	53.0	0.008142353203336661			0.015087301523829698
NP_055542	261.0	592.0	15.0	21.0	0.1969183891773319			0.2390923044787112
NP_055554	781.0	1724.0	25.0	47.0	0.5210274535580356			0.5582437002407524
NP_055566	160.0	364.0	15.0	16.0	0.046392819710679545			0.06703549637093605
NP_055599	569.0	1350.0	30.0	34.0	0.005177764484679514			0.010322758308063588
NP_055627	841.0	1858.0	67.0	37.0	1.153501736174424e-11			1.8167652344747178e-10
NP_055642	177.0	396.0	12.0	5.0	0.001079207387543852			0.002575381265729647
NP_055647	342.0	732.0	19.0	12.0	0.0013662207574966219			0.0032357860045972623
NP_055662	443.0	1012.0	25.0	28.0	0.014698292186094234			0.02489226902483701
NP_055698	48.0	137.0	15.0	4.0	7.959937643540615e-06			3.6338845763989764e-05
NP_055750	461.0	1107.0	49.0	45.0	8.868382519912705e-06			3.934564075735918e-05
NP_055756	261.0	567.0	10.0	7.0	0.031612226768250117			0.047645222162673626
NP_055816	648.0	1528.0	21.0	36.0	0.24499666754463995			0.2883481508352349
NP_055831	287.0	664.0	18.0	20.0	0.030991606431360216			0.04693440397056956
NP_055847	352.0	797.0	10.0	21.0	0.8449500548002802			0.8558175796208626
NP_055871	108.0	249.0	22.0	2.0	2.1013340673011305e-09			1.9468242094113414e-08
