	NotOutlier_PIK3CA.Mutation.Status_False	NotOutlier_PIK3CA.Mutation.Status_True	Outliers_PIK3CA.Mutation.Status_False	Outliers_PIK3CA.Mutation.Status_True	fisherp_PIK3CA.Mutation.Status_False	fisherp_PIK3CA.Mutation.Status_True	fisherFDR_PIK3CA.Mutation.Status_False	fisherFDR_PIK3CA.Mutation.Status_True
NP_065910	1356.0	734.0	33.0	27.0		0.13175575536483095		0.22966422327954097
NP_065939	1566.0	835.0	67.0	37.0		0.9163208009272718		0.9325676236387481
NP_065953	1327.0	718.0	31.0	25.0		0.15684562874017577		0.261855226999998
NP_065970	344.0	163.0	6.0	15.0		0.0005019949417035414		0.0036018137067229095
NP_066997	585.0	298.0	21.0	16.0		0.2877809160271831		0.39829599471896193
NP_067064	378.0	203.0	7.0	14.0		0.004577026507101737		0.018244536215808314
NP_068799	270.0	137.0	7.0	9.0		0.10395223222146346		0.18833940692170348
NP_071349	466.0	245.0	10.0	18.0		0.0020334426192227546		0.01023856195994615
NP_071401	197.0	96.0	4.0	10.0		0.006754762926833968		0.024854063589760885
NP_072096	471.0	242.0	12.0	11.0		0.18404137692095135		0.29266137284251187
NP_073585	1115.0	554.0	26.0	27.0		0.011323658495838596		0.03845115302701838
NP_073588	313.0	156.0	5.0	13.0		0.0014662760076089411		0.008416424283675322
NP_073602	353.0	169.0	16.0	13.0		0.2223433884298915		0.32557424734376966
NP_073744	575.0	270.0	21.0	19.0		0.05615329026412365		0.12396918696771914
NP_075384	393.0	191.0	9.0	13.0		0.01903237289880465		0.052021819256732715
NP_076936	318.0	160.0	6.0	15.0		0.0006747121357653918		0.004610532927730178
NP_079031	643.0	350.0	17.0	10.0		0.840561696509619		0.8901889553441352
NP_079052	868.0	450.0	24.0	22.0		0.05961430074418359		0.12673558750800512
NP_079285	252.0	116.0	7.0	12.0		0.01002870286110424		0.03467756290526406
NP_079440	495.0	261.0	15.0	11.0		0.4097299272406477		0.5067981825892548
NP_079461	808.0	418.0	40.0	25.0		0.5032921923281531		0.5968795834635535
NP_079524	956.0	518.0	29.0	18.0		0.6449591010735025		0.7258951451297851
NP_109590	701.0	382.0	30.0	19.0		0.6479744152684056		0.7264400671173141
NP_112179	441.0	225.0	10.0	12.0		0.06535762214356394		0.1337094195106379
NP_112553	338.0	170.0	9.0	9.0		0.20363473843789004		0.30439151006080434
NP_112578	284.0	145.0	8.0	8.0		0.1894859186111502		0.2955568404423919
NP_113584	1761.0	908.0	43.0	37.0		0.030835964376411194		0.07752878806051432
