	NotOutlier_GATA3.Mutation.Status_False	NotOutlier_GATA3.Mutation.Status_True	Outliers_GATA3.Mutation.Status_False	Outliers_GATA3.Mutation.Status_True	fisherp_GATA3.Mutation.Status_False	fisherp_GATA3.Mutation.Status_True	fisherFDR_GATA3.Mutation.Status_False	fisherFDR_GATA3.Mutation.Status_True
NP_001059	1552.0	147.0	54.0	13.0		0.007117503701099546		0.04020433251520587
NP_001073981	664.0	69.0	13.0	4.0		0.07406053979301351		0.20430493736003727
NP_001092108	588.0	58.0	26.0	4.0		0.3447310501867832		0.4881147613264186
NP_001104026	2982.0	318.0	117.0	18.0		0.18095088237244114		0.32272302547223397
NP_001123999	1515.0	135.0	60.0	19.0		3.0220544800258236e-05		0.0006907553097201883
NP_001124317	451.0	36.0	15.0	6.0		0.004734984876316669		0.034436253645939406
NP_001127854	946.0	91.0	47.0	5.0		0.8012990515639677		0.8271474080660313
NP_001128716	1538.0	143.0	30.0	5.0		0.21938363925619364		0.36563939876032275
NP_001137474	226.0	19.0	8.0	4.0		0.015025464687073217		0.06497498243058689
NP_001138241	430.0	45.0	22.0	6.0		0.05286068065336251		0.16706025930188237
NP_001139	686.0	66.0	25.0	5.0		0.1815317018281316		0.32272302547223397
NP_001155133	431.0	45.0	15.0	3.0		0.4036518666684963		0.5370112959802265
NP_001156425	627.0	60.0	17.0	10.0		9.480163657981153e-05		0.0016853624280855383
NP_001157745	1190.0	108.0	27.0	6.0		0.056426382534837234		0.16999166450423153
NP_001158136	1452.0	134.0	74.0	9.0		0.42107063525186184		0.5409635722160382
NP_001166994	301.0	28.0	11.0	3.0		0.1227757603720747		0.2621875544080074
NP_001171894	1136.0	106.0	46.0	9.0		0.053250457652475006		0.16706025930188237
NP_001184223	980.0	103.0	38.0	6.0		0.4293898354464803		0.5409635722160382
NP_001186308	925.0	81.0	36.0	6.0		0.15182977230967115		0.3036595446193423
NP_001193769	241.0	19.0	8.0	4.0		0.012307069281631984		0.05547406002431396
NP_001229510	574.0	63.0	27.0	4.0		0.5399971539451369		0.6260836567479848
NP_001230368	993.0	103.0	26.0	6.0		0.11692880797429234		0.2602797628813063
NP_001243415	823.0	89.0	31.0	7.0		0.095369791669026		0.2390266781580998
NP_001245308	661.0	61.0	40.0	7.0		0.1767454140770844		0.32272302547223397
NP_001253968	564.0	52.0	9.0	4.0		0.021971807605961603		0.08665669185736484
NP_001265389	1589.0	164.0	79.0	16.0		0.03052827629570616		0.10854498238473302
NP_001511	784.0	72.0	20.0	3.0		0.4371439446498921		0.5464299308123651
NP_001531	698.0	75.0	22.0	3.0		0.7277134983692788		0.8090149596757897
NP_001640	1339.0	133.0	33.0	4.0		0.7689263338126532		0.8090149596757897
NP_001646	284.0	22.0	12.0	3.0		0.10163046897663801		0.24637689448881941
NP_001931	826.0	81.0	39.0	8.0		0.07149775928983966		0.20069546467323413
NP_001952	471.0	45.0	16.0	3.0		0.2380761933625244		0.3847696054343828
NP_002087	879.0	80.0	39.0	5.0		0.4121062765124208		0.5404672478851421
NP_002347	1076.0	101.0	36.0	5.0		0.3949189062327933		0.5354832626885333
NP_002366	2728.0	265.0	89.0	20.0		0.0020246889570134617		0.016197511656107694
NP_002471	1019.0	91.0	39.0	4.0		0.7753029238219227		0.8090149596757897
NP_002547	897.0	92.0	34.0	5.0		0.40554427827651385		0.5370112959802265
NP_002600	57.0	4.0	2.0	3.0		0.006934261974584543		0.04020433251520587
NP_003015	878.0	87.0	28.0	3.0		0.7545672075253929		0.8090149596757897
NP_003137	465.0	44.0	12.0	3.0		0.14322289303017685		0.2976060114912766
NP_003283	966.0	93.0	35.0	4.0		0.7710423065077021		0.8090149596757897
NP_003350	229.0	16.0	12.0	9.0		1.8544488712658606e-05		0.0005934236388050754
NP_003379	488.0	48.0	18.0	5.0		0.05674360181541947		0.16999166450423153
NP_003452	1033.0	105.0	34.0	6.0		0.26188002790689646		0.41666161545628416
NP_003602	720.0	69.0	31.0	15.0		1.2765667036736422e-05		0.0005106266814694568
NP_003642	516.0	47.0	18.0	4.0		0.11569708153194759		0.2602797628813063
NP_003740	1498.0	137.0	76.0	16.0		0.006989915001778629		0.04020433251520587
NP_003751	489.0	41.0	18.0	6.0		0.011216787865191149		0.05438442601304799
NP_003864	36.0	3.0	3.0	3.0		0.023834078570323654		0.08975069210075241
NP_003891	1282.0	109.0	79.0	22.0		2.580136426475847e-05		0.0006880363803935592
NP_003971	1227.0	129.0	59.0	8.0		0.5219281147051819		0.6140330761237434
NP_004036	117.0	10.0	3.0	3.0		0.012481663505470642		0.05547406002431396
NP_004282	64.0	5.0	5.0	3.0		0.03292793936335075		0.11453196300295913
NP_004299	505.0	50.0	25.0	5.0		0.18845395930038344		0.33134762074792695
NP_004300	291.0	28.0	10.0	7.0		0.000666380915466514		0.008181391072322679
NP_004437	744.0	69.0	31.0	3.0		1.0		1.0
NP_004545	813.0	85.0	17.0	3.0		0.42928963394393405		0.5409635722160382
NP_004726	1014.0	100.0	51.0	13.0		0.0069217644225232355		0.04020433251520587
NP_004806	743.0	74.0	28.0	6.0		0.12290041612875348		0.2621875544080074
NP_004808	2122.0	206.0	69.0	8.0		0.6819850471478135		0.7684338559411984
NP_005076	1410.0	135.0	35.0	6.0		0.1712468164782402		0.32266887998158084
NP_005110	2309.0	217.0	82.0	10.0		0.44818433164087357		0.5558875431204633
NP_005154	451.0	44.0	32.0	7.0		0.08326918565628214		0.22205116175008568
NP_005222	1227.0	120.0	47.0	6.0		0.4686758521593887		0.5724285217213908
NP_005405	139.0	14.0	8.0	3.0		0.09064302412429599		0.23473525974546045
NP_005535	1706.0	165.0	60.0	18.0		0.0001910891812535504		0.002779479000051642
NP_005586	1066.0	93.0	28.0	10.0		0.0008779241008223915		0.008779241008223915
NP_005602	892.0	83.0	21.0	4.0		0.26562177985338115		0.41666161545628416
NP_005808	673.0	73.0	28.0	8.0		0.025240146434713628		0.09178235067168591
NP_006266	668.0	64.0	23.0	5.0		0.16701634128406484		0.3219592121138599
NP_006331	723.0	81.0	41.0	6.0		0.6173428470697433		0.7005308902919073
NP_006358	554.0	56.0	14.0	3.0		0.20921865897463673		0.35972764450896283
NP_006428	884.0	85.0	25.0	5.0		0.18128996103508288		0.32272302547223397
NP_006469	646.0	67.0	30.0	4.0		0.5545798998482481		0.6383653523433072
NP_006691	603.0	60.0	24.0	4.0		0.3176802920106052		0.47063746964534103
NP_006717	1697.0	164.0	60.0	6.0		0.8270508325365193		0.8322524100996421
NP_009049	957.0	95.0	37.0	5.0		0.5802149793620829		0.6631028335566661
NP_009055	711.0	78.0	14.0	4.0		0.10046493990546072		0.24637689448881941
NP_009097	449.0	41.0	16.0	6.0		0.010423360487800248		0.052116802439001235
NP_009131	2685.0	262.0	110.0	13.0		0.5180043701869601		0.6139311054067675
NP_009297	610.0	55.0	20.0	5.0		0.05737218677017814		0.16999166450423153
NP_036387	678.0	64.0	38.0	4.0		0.778048221704251		0.8090149596757897
NP_037450	1485.0	137.0	60.0	6.0		0.8208867445485037		0.8322524100996421
NP_055082	356.0	31.0	12.0	4.0		0.040912096281190136		0.1363736542706338
NP_055131	498.0	44.0	13.0	8.0		0.00024779513504716934		0.003303935133962258
NP_055445	893.0	82.0	39.0	4.0		0.7786768986879476		0.8090149596757897
NP_055548	498.0	48.0	19.0	5.0		0.06212494101625128		0.1790060147779214
NP_055554	2286.0	219.0	62.0	10.0		0.13878080282986188		0.29217011122076186
