	NotOutlier_PAM50_Her2_Her2	NotOutlier_PAM50_Her2_not-Her2	Outliers_PAM50_Her2_Her2	Outliers_PAM50_Her2_not-Her2	fisherp_PAM50_Her2_Her2	fisherp_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_not-Her2	fisherFDR_PAM50_Her2_Her2
NP_058519	404.0	2129.0	19.0	29.0	8.915682286243632e-05			0.0011363956945799423
NP_059136	68.0	372.0	5.0	14.0	0.20341376613928652			0.2568258713991306
NP_060018	56.0	318.0	5.0	3.0	0.003397023887862144			0.014356895694491062
NP_060085	19.0	108.0	5.0	7.0	0.03450974765196668			0.0672155796394511
NP_060130	92.0	511.0	7.0	27.0	0.4625447463972189			0.4939141374427749
NP_060149	128.0	726.0	9.0	18.0	0.025444217295899234			0.053997165702412864
NP_060189	56.0	341.0	8.0	17.0	0.03752146950573365			0.07124209662801789
NP_060204	68.0	398.0	6.0	4.0	0.0014650144946480427			0.008586909775199842
NP_060206	53.0	266.0	5.0	17.0	0.5547970654656785			0.5778236622165238
NP_060224	60.0	381.0	6.0	10.0	0.017814620196620664			0.04207394122907763
NP_060242	49.0	274.0	6.0	12.0	0.0520228109301916			0.09064075366148731
NP_060252	112.0	636.0	10.0	15.0	0.0026657284036577457			0.012162385841688465
NP_060275	93.0	511.0	6.0	21.0	0.41289122074956097			0.4498665539510142
NP_060362	90.0	485.0	8.0	11.0	0.006492665421587814			0.021764239457718923
NP_060378	48.0	277.0	4.0	3.0	0.013135506080174232			0.03492652775622486
NP_060395	330.0	1877.0	28.0	68.0	0.000474177214636476			0.003807643033530902
NP_060404	105.0	549.0	6.0	18.0	0.2590159043726076			0.3072079901830446
NP_060414	97.0	512.0	12.0	37.0	0.15889552473565283			0.21194868166566316
NP_060418	75.0	390.0	8.0	17.0	0.05264995269896513			0.09084970383756455
NP_060439	176.0	994.0	23.0	52.0	0.0009411392578064748			0.006459272000158968
NP_060493	108.0	589.0	6.0	24.0	0.449770430722922			0.4828417859231368
NP_060497	131.0	756.0	8.0	12.0	0.006158365519993057			0.021133194498095833
NP_060531	39.0	265.0	7.0	16.0	0.02881489143242936			0.058519870311526515
NP_060537	350.0	1795.0	32.0	82.0	0.0019759703338290604			0.010303273883537243
NP_060548	109.0	618.0	12.0	17.0	0.0007677558553631933			0.005592188790559696
NP_060649	153.0	808.0	13.0	35.0	0.04740680403475031			0.08459480808867667
NP_060651	40.0	274.0	6.0	6.0	0.0027543334694272057			0.012425448179494642
NP_060719	74.0	361.0	4.0	11.0	0.3069691118678403			0.3486509148937423
NP_060731	100.0	583.0	9.0	25.0	0.08201095831690616			0.1256770983367856
NP_060733	151.0	830.0	11.0	40.0	0.23716994920088655			0.28899464219774185
NP_060783	149.0	812.0	12.0	34.0	0.06389472373918222			0.1043259639807624
NP_060813	73.0	420.0	5.0	19.0	0.38668530717480903			0.4230358333261194
NP_060873	137.0	785.0	7.0	29.0	0.47349761043536354			0.5042686753045051
NP_060909	3.0	36.0	4.0	1.0	0.0012117774454700123			0.007427918234445953
NP_060910	51.0	313.0	4.0	12.0	0.26575267869886654			0.31290234750027834
NP_060939	139.0	736.0	6.0	23.0	0.445601718835945			0.4790069347058418
NP_060952	137.0	719.0	11.0	27.0	0.04431838176825002			0.08088104672705629
NP_061174	133.0	712.0	5.0	16.0	0.3594544319093239			0.3980730527756632
NP_061322	208.0	1157.0	15.0	56.0	0.18024687900705733			0.234204278062568
NP_061830	89.0	501.0	9.0	19.0	0.029070480554528974			0.05865225096805721
NP_061857	135.0	714.0	7.0	22.0	0.2999541379779853			0.34358252347414053
NP_061874	36.0	191.0	6.0	5.0	0.0050089988194326075			0.01822902991353233
NP_061877	37.0	208.0	4.0	10.0	0.2475686088086853			0.2989437486817659
NP_061964	36.0	185.0	5.0	9.0	0.07498476376918088			0.11776989526275534
NP_061994	54.0	284.0	5.0	11.0	0.1588758981537338			0.21194868166566316
NP_062536	470.0	2404.0	24.0	61.0	0.007159306501613196			0.022995692483181587
NP_062552	124.0	651.0	16.0	39.0	0.023260885924531943			0.051034129501090576
NP_062817	205.0	1105.0	11.0	34.0	0.14318708519382853			0.19460469095202118
NP_064504	229.0	1197.0	9.0	25.0	0.1534763259243399			0.2071756927388904
NP_064520	47.0	319.0	13.0	14.0	2.625176542886624e-05			0.0005019087533185617
NP_064533	77.0	468.0	7.0	9.0	0.004845459429609567			0.017920917216407397
NP_064578	113.0	606.0	6.0	18.0	0.25263545322207553			0.3022775010490171
NP_064703	82.0	435.0	8.0	10.0	0.004865205421141734			0.017920917216407397
NP_065128	20.0	127.0	6.0	10.0	0.024081481946993406			0.05188398431007346
NP_065176	336.0	1910.0	13.0	42.0	0.08588247718279116			0.1303076378641702
NP_065741	97.0	556.0	5.0	20.0	0.5652411289291954			0.5871780420829805
NP_065746	50.0	277.0	7.0	8.0	0.005439536402269677			0.019157665486941013
NP_065804	112.0	584.0	6.0	16.0	0.2355033185970959			0.28783738939645054
NP_065805	237.0	1272.0	18.0	53.0	0.0455182916811813			0.08213750161795187
NP_065813	87.0	503.0	8.0	16.0	0.02126468211022782			0.04796499925424983
NP_065816	135.0	760.0	16.0	32.0	0.002011734599282819			0.010355274892462204
NP_065821	158.0	910.0	11.0	12.0	0.0002240473818817792			0.0021686806684395907
NP_065823	133.0	724.0	8.0	33.0	0.5086337283620671			0.5374116893088683
NP_065859	185.0	1012.0	7.0	20.0	0.174223609767446			0.22897145440795275
NP_065872	72.0	415.0	8.0	11.0	0.004795436656202774			0.017920917216407397
NP_065875	226.0	1341.0	12.0	38.0	0.06783719726746273			0.10872908065024466
NP_065876	58.0	320.0	7.0	14.0	0.06009325119423169			0.10074087830682263
NP_065883	245.0	1345.0	21.0	48.0	0.002129596893554283			0.010621529847975712
NP_065896	49.0	299.0	7.0	11.0	0.01105175234185163			0.03102992003673727
