	NotOutlier_PR Status_Negative	NotOutlier_PR Status_Positive	Outliers_PR Status_Negative	Outliers_PR Status_Positive	fisherp_PR Status_Negative	fisherp_PR Status_Positive	fisherFDR_PR Status_Positive	fisherFDR_PR Status_Negative
NP_872363	777.0	1002.0	38.0	36.0	0.2318203089047819			0.2952658671313538
NP_898868	640.0	886.0	27.0	24.0	0.1489643698748983			0.20599644291271652
NP_937883	473.0	626.0	27.0	24.0	0.1934076859916596			0.254373152228161
NP_940890	941.0	1225.0	65.0	54.0	0.01780076372365054			0.03745899844455157
NP_940953	313.0	412.0	26.0	12.0	0.0024919672215265123			0.0070947772659931295
NP_955391	320.0	412.0	19.0	13.0	0.10129787917208705			0.15660823541793326
NP_958782	1176.0	1503.0	53.0	50.0	0.1308886824612293			0.18632388915069115
NP_963293	406.0	580.0	50.0	2.0	1.325448301213276e-16			1.6037924444680638e-14
NP_982261	421.0	549.0	20.0	19.0	0.41070942566215485			0.4778446202415455
NP_982284	565.0	697.0	24.0	17.0	0.10980595985194962			0.16203074563519396
NP_996744	714.0	913.0	32.0	27.0	0.14169979675806565			0.19821590066735198
NP_998754	573.0	760.0	29.0	26.0	0.16628521032784707			0.22430771305298006
