	NotOutlier_ER Status_Negative	NotOutlier_ER Status_Positive	Outliers_ER Status_Negative	Outliers_ER Status_Positive	fisherp_ER Status_Negative	fisherp_ER Status_Positive	fisherFDR_ER Status_Positive	fisherFDR_ER Status_Negative
NP_004487	173.0	465.0	26.0	4.0	5.168920834119863e-11			2.5996570156392693e-09
NP_004710	339.0	780.0	20.0	38.0	0.5585794625261269			0.7080306669429031
NP_004726	341.0	787.0	18.0	32.0	0.4324632840475153			0.6251060196686812
NP_004732	192.0	449.0	16.0	14.0	0.013658791686330985			0.07239159593755422
NP_004738	496.0	1093.0	20.0	28.0	0.15475080218307335			0.3370599663987488
NP_005069	334.0	841.0	21.0	16.0	0.0004008129004722515			0.006975332258782869
NP_005086	296.0	687.0	14.0	23.0	0.36250103285713486			0.5763766422428445
NP_005110	762.0	1714.0	46.0	96.0	0.7088576018993763			0.8132447757151818
NP_005119	254.0	613.0	14.0	10.0	0.005219317807051907			0.03319486125285013
NP_005137	147.0	332.0	9.0	12.0	0.2382236171489754			0.4353741968584723
NP_005383	286.0	676.0	14.0	26.0	0.48356819770804904			0.6804189684564583
NP_005426	523.0	1187.0	18.0	27.0	0.1916021683445893			0.3952170334630792
NP_005446	211.0	494.0	11.0	21.0	0.5613701702363315			0.7080306669429031
NP_005535	537.0	1362.0	30.0	20.0	4.568575566593763e-06			0.00012106725251473472
NP_005753	535.0	1188.0	23.0	41.0	0.41180861633432253			0.6062737962699749
NP_005757	296.0	707.0	16.0	31.0	0.5156167782966035			0.6947717605861012
NP_005793	183.0	410.0	12.0	19.0	0.42644570471138			0.6220630004505451
NP_005830	1106.0	2562.0	101.0	166.0	0.010842578332480163			0.0615703555308695
NP_005853	154.0	370.0	11.0	16.0	0.28011645783420414			0.48211022306890255
NP_006176	689.0	1546.0	30.0	53.0	0.3336355374957449			0.5413066373655453
NP_006188	902.0	2117.0	32.0	58.0	0.24523981191195113			0.44310375106818445
NP_006303	887.0	1989.0	44.0	97.0	0.9257727994080738			0.9396722002486467
NP_006412	216.0	503.0	12.0	17.0	0.2177617722831754			0.4222453877198157
NP_006428	296.0	666.0	12.0	25.0	0.8566572754181324			0.9020430913343249
NP_006687	164.0	374.0	12.0	18.0	0.3109079521624366			0.5149412957690356
NP_006717	535.0	1340.0	26.0	26.0	0.001635100833136908			0.017573103785213064
NP_009045	420.0	980.0	15.0	31.0	0.7442793029104433			0.8275553088304929
NP_009049	329.0	737.0	14.0	14.0	0.03870819313227031			0.13379571104415172
NP_009217	873.0	1941.0	25.0	50.0	0.7047982390321925			0.8132447757151818
NP_009297	193.0	456.0	15.0	26.0	0.3813914550443209			0.5798964119855516
NP_015559	243.0	563.0	14.0	27.0	0.6031410302591359			0.7376878754707894
NP_036370	105.0	263.0	13.0	13.0	0.026800748727150714			0.10393461091748692
NP_036440	254.0	590.0	15.0	28.0	0.4999740110300314			0.6853092047739223
NP_055238	388.0	896.0	24.0	40.0	0.2141161944336024			0.4222453877198157
NP_055464	120.0	293.0	15.0	11.0	0.003721698457518361			0.027224754833754018
NP_055490	206.0	503.0	15.0	10.0	0.0016578399797370815			0.017573103785213064
NP_055535	368.0	815.0	18.0	33.0	0.5390280086504455			0.7080306669429031
NP_055554	763.0	1677.0	43.0	94.0	1.0			1.0
NP_055681	954.0	2200.0	27.0	51.0	0.45440175836235697			0.6450882105322746
NP_055792	792.0	1804.0	64.0	107.0	0.06055689937814557			0.1750644909295481
NP_055831	292.0	660.0	13.0	24.0	0.5878340701975557			0.7302001340735262
NP_055847	336.0	775.0	26.0	43.0	0.22548653862326606			0.42693868406613783
NP_055857	423.0	989.0	21.0	34.0	0.2306222108802031			0.431399194470027
NP_055885	662.0	1545.0	54.0	122.0	0.8644522438796411			0.9042625445846246
NP_055888	390.0	886.0	16.0	28.0	0.4098119036198672			0.6062737962699749
NP_055889	152.0	336.0	10.0	20.0	0.8400120472485952			0.890412770083511
NP_055968	273.0	624.0	13.0	26.0	0.7236297248882212			0.816007987639909
NP_055970	312.0	683.0	13.0	24.0	0.5946538075214955			0.7329453906660294
NP_055972	707.0	1564.0	16.0	33.0	0.8762551041353683			0.9047049451787245
NP_056018	504.0	1179.0	17.0	29.0	0.32923245369300336			0.539669692135954
NP_056073	446.0	978.0	20.0	38.0	0.6653563265363339			0.7855251503878263
NP_056130	535.0	1226.0	27.0	43.0	0.14784615422531033			0.33582197888320486
NP_056145	314.0	680.0	12.0	23.0	0.7151327545841322			0.8132447757151818
NP_056262	322.0	717.0	15.0	26.0	0.4923334434483212			0.6853092047739223
NP_056342	230.0	562.0	18.0	19.0	0.015915461533428446			0.07516101028006744
NP_056347	61.0	149.0	9.0	8.0	0.05474149754105849			0.1673826559428519
NP_056450	286.0	669.0	15.0	26.0	0.3865976079903678			0.5798964119855516
NP_057417	3286.0	7621.0	217.0	423.0	0.0464537418742654			0.1552260193368982
NP_057421	244.0	613.0	12.0	11.0	0.019062583597195946			0.0841930775542821
NP_057507	107.0	279.0	10.0	8.0	0.016072165720265992			0.07516101028006744
NP_057572	169.0	412.0	19.0	25.0	0.060200571145842756			0.1750644909295481
NP_058519	726.0	1807.0	36.0	12.0	6.540017649406967e-11			2.5996570156392693e-09
NP_059990	221.0	500.0	19.0	35.0	0.5418023512459416			0.7080306669429031
NP_060149	246.0	608.0	15.0	12.0	0.004636269188606795			0.031315686067385266
NP_060327	149.0	371.0	10.0	10.0	0.04738916703189477			0.1552260193368982
NP_060395	681.0	1526.0	30.0	66.0	0.9106670127062091			0.9341680969050791
NP_060414	183.0	426.0	20.0	29.0	0.14687194081519322			0.33582197888320486
NP_060644	496.0	1109.0	21.0	42.0	0.6785752810331831			0.793334335913795
NP_060783	292.0	669.0	19.0	27.0	0.1406908953928191			0.3338783935441528
NP_062536	905.0	1969.0	28.0	57.0	0.8129078416458119			0.8733266677140817
NP_062552	236.0	539.0	18.0	37.0	0.762432883413106			0.8360470928460956
NP_065176	681.0	1565.0	20.0	35.0	0.3735841995789225			0.5797659288670346
NP_065821	304.0	764.0	12.0	11.0	0.01892640925675207			0.0841930775542821
NP_065899	874.0	1978.0	30.0	43.0	0.07159572483828719			0.19627103878082178
NP_065910	627.0	1454.0	25.0	44.0	0.28805327793424995			0.48211022306890255
NP_065939	729.0	1683.0	31.0	62.0	0.5655339289418156			0.7080306669429031
NP_065952	447.0	997.0	22.0	46.0	0.789889133149363			0.8543698787125764
NP_072174	1593.0	3604.0	47.0	99.0	0.7160645823907261			0.8132447757151818
NP_075463	281.0	648.0	9.0	17.0	0.6669553163670223			0.7855251503878263
NP_076916	279.0	626.0	18.0	25.0	0.13251087453353			0.32408920341117414
NP_078779	249.0	649.0	20.0	21.0	0.007078901473339842			0.04329020516388595
NP_079031	274.0	692.0	21.0	33.0	0.12180709513424659			0.30741790676738423
NP_079223	236.0	542.0	15.0	11.0	0.004726896010171361			0.031315686067385266
NP_079524	416.0	1061.0	17.0	27.0	0.130380475775231			0.3239139945040895
NP_085133	173.0	411.0	11.0	4.0	0.0007232827794536713			0.010454723812103068
NP_112604	164.0	365.0	19.0	26.0	0.13452759386878926			0.32408920341117414
NP_114129	202.0	486.0	23.0	20.0	0.0017894184214073566			0.017782345562735606
NP_115543	195.0	422.0	14.0	17.0	0.11943568955525288			0.30629475224653563
NP_115812	923.0	2124.0	33.0	73.0	0.8306418506561943			0.8863896258680194
NP_116114	316.0	774.0	31.0	59.0	0.2801002537365865			0.48211022306890255
NP_116253	92.0	184.0	10.0	15.0	0.5133782533519429			0.6947717605861012
NP_150241	468.0	1045.0	20.0	34.0	0.37001010513904753			0.5797659288670346
NP_444254	354.0	824.0	23.0	21.0	0.0025900517278941854			0.02412759715720534
NP_543023	268.0	624.0	13.0	15.0	0.09289881806917838			0.2461818678833227
NP_597734	777.0	1787.0	35.0	33.0	0.00043870014206181564			0.006975332258782869
NP_612429	833.0	1884.0	28.0	26.0	0.0015532575954530854			0.017573103785213064
NP_612435	324.0	768.0	18.0	22.0	0.052185404027507806			0.16594958480747482
NP_653205	261.0	601.0	24.0	32.0	0.05341372031072829			0.16652512802756467
NP_689771	66.0	154.0	9.0	11.0	0.20737055320129735			0.4173660501140036
NP_733751	389.0	967.0	41.0	31.0	1.224907805717883e-06			3.895206822182868e-05
NP_757366	285.0	672.0	11.0	11.0	0.05773845279937813			0.1732153583981344
NP_775266	140.0	318.0	12.0	11.0	0.03812532823813927			0.13379571104415172
NP_898868	462.0	1054.0	24.0	37.0	0.15728380677058798			0.33794763887193907
NP_957516	198.0	477.0	11.0	9.0	0.022995228744760975			0.09140603426042487
